SIGNGU,TYPE,AREA_ID,GOMTR_TYPE,PXL_CRDNT,PLAC_CNT
수원시,Feature,다사49aa19ab,Polygon,"[[[126.92476861910082, 37.27076573094027], [126.92475147461319, 37.27301912088102], [126.92757119152385, 37.27303278916454], [126.92758825198494, 37.270779398115344], [126.92476861910082, 37.27076573094027]]]",0
수원시,Feature,다사49aa19ba,Polygon,"[[[126.92475147461319, 37.27301912088102], [126.92473432821753, 37.27527250995515], [126.9275541291641, 37.275286179347205], [126.92757119152385, 37.27303278916454], [126.92475147461319, 37.27301912088102]]]",0
수원시,Feature,다사49aa20aa,Polygon,"[[[126.92471717991359, 37.27752589816265], [126.92470002970117, 37.279779285503494], [126.92751999874763, 37.27979295711281], [126.92753706490542, 37.2775395686633], [126.92471717991359, 37.27752589816265]]]",0
수원시,Feature,다사49ab18ab,Polygon,"[[[126.92765647484667, 37.26176582525348], [126.92763942197818, 37.26401921976867], [126.93045880473653, 37.26403281648398], [126.93047577361567, 37.26177942086603], [126.92765647484667, 37.26176582525348]]]",0
수원시,Feature,다사49ab18ba,Polygon,"[[[126.92763942197818, 37.26401921976867], [126.92762236721187, 37.26627261341739], [126.93044183396894, 37.266286211235524], [126.93045880473653, 37.26403281648398], [126.92763942197818, 37.26401921976867]]]",0
수원시,Feature,다사49ab18bb,Polygon,"[[[126.92762236721187, 37.26627261341739], [126.92760531054752, 37.268526006199615], [126.9304248613127, 37.268539605120644], [126.93044183396894, 37.266286211235524], [126.92762236721187, 37.26627261341739]]]",0
수원시,Feature,다사49ab19aa,Polygon,"[[[126.92760531054752, 37.268526006199615], [126.92758825198494, 37.270779398115344], [126.93040788676753, 37.270792998139314], [126.9304248613127, 37.268539605120644], [126.92760531054752, 37.268526006199615]]]",0
수원시,Feature,다사49ab19ab,Polygon,"[[[126.92758825198494, 37.270779398115344], [126.92757119152385, 37.27303278916454], [126.93039091033323, 37.27304639029154], [126.93040788676753, 37.270792998139314], [126.92758825198494, 37.270779398115344]]]",1
수원시,Feature,다사49ab19ba,Polygon,"[[[126.92757119152385, 37.27303278916454], [126.9275541291641, 37.275286179347205], [126.93037393200962, 37.27529978157728], [126.93039091033323, 37.27304639029154], [126.92757119152385, 37.27303278916454]]]",0
수원시,Feature,다사49ab19bb,Polygon,"[[[126.9275541291641, 37.275286179347205], [126.92753706490542, 37.2775395686633], [126.93035695179641, 37.27755317199652], [126.93037393200962, 37.27529978157728], [126.9275541291641, 37.275286179347205]]]",0
수원시,Feature,다사49ab20aa,Polygon,"[[[126.92753706490542, 37.2775395686633], [126.92751999874763, 37.27979295711281], [126.93033996969342, 37.27980656154926], [126.93035695179641, 37.27755317199652], [126.92753706490542, 37.2775395686633]]]",0
수원시,Feature,다사49ab20ab,Polygon,"[[[126.92751999874763, 37.27979295711281], [126.92750293069047, 37.28204634469573], [126.93032298570046, 37.28205995023544], [126.93033996969342, 37.27980656154926], [126.92751999874763, 37.27979295711281]]]",0
수원시,Feature,다사49ab20ba,Polygon,"[[[126.92750293069047, 37.28204634469573], [126.92748586073368, 37.28429973141201], [126.93030599981724, 37.28431333805507], [126.93032298570046, 37.28205995023544], [126.92750293069047, 37.28204634469573]]]",0
수원시,Feature,다사49ab20bb,Polygon,"[[[126.92748586073368, 37.28429973141201], [126.92746878887715, 37.286553117261676], [126.93028901204357, 37.28656672500813], [126.93030599981724, 37.28431333805507], [126.92748586073368, 37.28429973141201]]]",0
수원시,Feature,다사49ba17bb,Polygon,"[[[126.93050970570941, 37.257272627031014], [126.93049274060654, 37.2595260243817], [126.93331195728348, 37.25953955176756], [126.93332883841543, 37.25728615331968], [126.93050970570941, 37.257272627031014]]]",0
수원시,Feature,다사49ba18aa,Polygon,"[[[126.93049274060654, 37.2595260243817], [126.93047577361567, 37.26177942086603], [126.93329507427286, 37.26179294934914], [126.93331195728348, 37.25953955176756], [126.93049274060654, 37.2595260243817]]]",0
수원시,Feature,다사49ba18ab,Polygon,"[[[126.93047577361567, 37.26177942086603], [126.93045880473653, 37.26403281648398], [126.93327818938336, 37.26404634606441], [126.93329507427286, 37.26179294934914], [126.93047577361567, 37.26177942086603]]]",0
수원시,Feature,다사49ba18ba,Polygon,"[[[126.93045880473653, 37.26403281648398], [126.93044183396894, 37.266286211235524], [126.93326130261472, 37.266299741913336], [126.93327818938336, 37.26404634606441], [126.93045880473653, 37.26403281648398]]]",0
수원시,Feature,다사49ba18bb,Polygon,"[[[126.93044183396894, 37.266286211235524], [126.9304248613127, 37.268539605120644], [126.93324441396675, 37.268553136895896], [126.93326130261472, 37.266299741913336], [126.93044183396894, 37.266286211235524]]]",0
수원시,Feature,다사49ba19aa,Polygon,"[[[126.9304248613127, 37.268539605120644], [126.93040788676753, 37.270792998139314], [126.93322752343923, 37.27080653101208], [126.93324441396675, 37.268553136895896], [126.9304248613127, 37.268539605120644]]]",0
