year,month,day,hour,day_night,day_of_week,city,district,accident_type,lon,lat,datetime
2012,01,08,01,야간,일,경기,수원시,차대사람,127.02212651,37.26040006,2012-01-08 01:00:00
2012,01,16,12,주간,월,경기,수원시,차대차,126.99467219,37.31682122,2012-01-16 12:00:00
2012,01,02,22,야간,월,경기,수원시,차대사람,127.03556325,37.25402658,2012-01-02 22:00:00
2012,01,05,15,주간,목,경기,수원시,차량단독,127.0165267,37.27900913,2012-01-05 15:00:00
2012,01,10,19,야간,화,경기,수원시,차대사람,126.99926179,37.2680215,2012-01-10 19:00:00
2012,05,29,08,주간,화,경기,수원시,차대사람,126.94729245,37.27388368,2012-05-29 08:00:00
2012,03,20,05,야간,화,경기,수원시,차대사람,127.00317369,37.27687162,2012-03-20 05:00:00
2012,03,05,23,야간,월,경기,수원시,차대차,126.99605522,37.26177025,2012-03-05 23:00:00
2012,03,31,08,주간,토,경기,수원시,차대사람,127.01765992,37.30116992,2012-03-31 08:00:00
2012,03,13,08,주간,화,경기,수원시,차대사람,127.02619798,37.27655137,2012-03-13 08:00:00
2012,03,05,23,야간,월,경기,수원시,차대사람,127.01229488,37.27053671,2012-03-05 23:00:00
2012,04,21,21,야간,토,경기,수원시,차대사람,126.97847883,37.27733328,2012-04-21 21:00:00
2012,05,25,19,야간,금,경기,수원시,차대사람,127.0163913,37.28606647,2012-05-25 19:00:00
2012,03,25,22,야간,일,경기,수원시,차대사람,126.97001819,37.27421295,2012-03-25 22:00:00
2012,04,03,15,주간,화,경기,수원시,차대사람,127.03038804,37.29023317,2012-04-03 15:00:00
2012,03,22,09,주간,목,경기,수원시,차대사람,127.05677273,37.25815515,2012-03-22 09:00:00
2012,04,17,16,주간,화,경기,수원시,차대차,126.98920514,37.28581706,2012-04-17 16:00:00
2012,04,24,03,야간,화,경기,수원시,차량단독,127.02235279,37.2317005,2012-04-24 03:00:00
2012,02,21,00,야간,화,경기,수원시,차대사람,127.02530881,37.27624134,2012-02-21 00:00:00
2012,01,17,08,주간,화,경기,수원시,차대사람,126.96900178,37.29847378,2012-01-17 08:00:00
2012,01,17,18,야간,화,경기,수원시,차대사람,127.03964091,37.26402096,2012-01-17 18:00:00
2012,01,31,05,야간,화,경기,수원시,차대사람,127.03212304,37.24687398,2012-01-31 05:00:00
2012,01,26,19,야간,목,경기,수원시,차대사람,127.02523004,37.29596346,2012-01-26 19:00:00
2012,02,16,10,주간,목,경기,수원시,차대차,127.01640563,37.28206435,2012-02-16 10:00:00
2013,02,08,06,주간,금,경기,수원시,차대차,126.97910106,37.27647907,2013-02-08 06:00:00
2012,02,27,04,야간,월,경기,수원시,차대차,126.97954027,37.24275149,2012-02-27 04:00:00
2012,11,17,14,주간,토,경기,수원시,차대차,127.02358276,37.23509471,2012-11-17 14:00:00
2013,01,10,14,주간,목,경기,수원시,차대사람,126.99378818,37.26970762,2013-01-10 14:00:00
2012,09,14,10,주간,금,경기,수원시,차대사람,126.99399322,37.26318566,2012-09-14 10:00:00
2012,12,18,01,야간,화,경기,수원시,차대사람,127.018871,37.23499454,2012-12-18 01:00:00
2013,05,15,01,야간,수,경기,수원시,차대차,127.03364604,37.26686393,2013-05-15 01:00:00
2012,12,26,04,야간,수,경기,수원시,차대사람,127.05609353,37.2720431,2012-12-26 04:00:00
2012,11,02,13,주간,금,경기,수원시,차대사람,127.01477096,37.25202323,2012-11-02 13:00:00
2013,04,26,08,주간,금,경기,수원시,차대차,126.9765087,37.25002194,2013-04-26 08:00:00
2012,12,26,18,야간,수,경기,수원시,차대사람,127.01413704,37.28926619,2012-12-26 18:00:00
2013,05,12,22,야간,일,경기,수원시,차대사람,127.00215764,37.27357727,2013-05-12 22:00:00
2013,05,13,09,주간,월,경기,수원시,차대차,126.96459247,37.30132033,2013-05-13 09:00:00
2013,11,23,20,야간,토,경기,수원시,차대사람,127.02864592,37.24756328,2013-11-23 20:00:00
2013,11,23,17,주간,토,경기,수원시,차대차,126.99508349,37.2704934,2013-11-23 17:00:00
2013,02,23,21,야간,토,경기,수원시,차대사람,127.08219692,37.26880934,2013-02-23 21:00:00
2012,10,10,06,주간,수,경기,수원시,차대사람,127.02216241,37.29576182,2012-10-10 06:00:00
2012,09,09,06,주간,일,경기,수원시,차량단독,126.97008087,37.26043996,2012-09-09 06:00:00
2012,12,21,03,야간,금,경기,수원시,차대차,126.97336872,37.25956225,2012-12-21 03:00:00
2012,11,02,22,야간,금,경기,수원시,차대사람,126.95039863,37.28569732,2012-11-02 22:00:00
2012,09,24,10,주간,월,경기,수원시,차대차,126.97014982,37.29083516,2012-09-24 10:00:00
2013,04,27,22,야간,토,경기,수원시,차대사람,126.9850351,37.27378616,2013-04-27 22:00:00
2013,05,16,05,야간,목,경기,수원시,차대차,127.04276168,37.25895819,2013-05-16 05:00:00
2012,07,11,23,야간,수,경기,수원시,차대차,127.09483326,37.2896871,2012-07-11 23:00:00
2012,09,03,11,주간,월,경기,수원시,차대사람,127.01310201,37.27130621,2012-09-03 11:00:00
2012,08,04,06,주간,토,경기,수원시,차대차,126.99047702,37.2862462,2012-08-04 06:00:00
2012,10,12,23,야간,금,경기,수원시,차대사람,126.98325844,37.2513761,2012-10-12 23:00:00
2012,11,26,09,주간,월,경기,수원시,차대사람,126.97129432,37.29817757,2012-11-26 09:00:00
2012,06,27,23,야간,수,경기,수원시,차량단독,127.02430154,37.2427054,2012-06-27 23:00:00
2012,09,17,05,야간,월,경기,수원시,차대차,127.0172754,37.29424568,2012-09-17 05:00:00
2013,12,24,22,야간,화,경기,수원시,차대사람,127.01392117,37.26250306,2013-12-24 22:00:00
2013,10,28,08,주간,월,경기,수원시,차대사람,127.01392117,37.26250306,2013-10-28 08:00:00
2012,10,10,13,주간,수,경기,수원시,차대차,126.99127212,37.26029855,2012-10-10 13:00:00
2012,11,29,14,주간,목,경기,수원시,차대차,127.01825235,37.24894565,2012-11-29 14:00:00
2012,10,07,11,주간,일,경기,수원시,차대사람,127.01549771,37.32337126,2012-10-07 11:00:00
2012,10,14,18,야간,일,경기,수원시,차대사람,126.97995977,37.28505569,2012-10-14 18:00:00
2012,09,26,07,주간,수,경기,수원시,차량단독,127.01898526,37.31630059,2012-09-26 07:00:00
2012,09,01,09,주간,토,경기,수원시,차대사람,126.96978703,37.24765688,2012-09-01 09:00:00
2013,12,12,06,주간,목,경기,수원시,차대사람,126.97858648,37.28274011,2013-12-12 06:00:00
2013,12,26,23,야간,목,경기,수원시,차대사람,127.01659133,37.27948713,2013-12-26 23:00:00
2013,07,19,23,야간,금,경기,수원시,차량단독,126.95795566,37.24340281,2013-07-19 23:00:00
2014,03,19,20,야간,수,경기,수원시,차대차,126.97510066,37.24399385,2014-03-19 20:00:00
2014,03,18,21,야간,화,경기,수원시,차대사람,127.00850306,37.3020787,2014-03-18 21:00:00
2013,11,02,14,주간,토,경기,수원시,차대사람,126.98693851,37.28900719,2013-11-02 14:00:00
2012,07,14,03,야간,토,경기,수원시,차대사람,127.03479958,37.24618143,2012-07-14 03:00:00
2013,12,27,07,주간,금,경기,수원시,차대사람,127.03128042,37.24456307,2013-12-27 07:00:00
2012,09,27,23,야간,목,경기,수원시,차대사람,127.002547,37.26411429,2012-09-27 23:00:00
2012,08,19,03,야간,일,경기,수원시,차량단독,127.02552478,37.26339735,2012-08-19 03:00:00
2014,03,16,21,야간,일,경기,수원시,차대사람,126.98513128,37.24791389,2014-03-16 21:00:00
2013,12,15,20,야간,일,경기,수원시,차대사람,127.0019529,37.26698723,2013-12-15 20:00:00
2013,10,24,03,야간,목,경기,수원시,차대사람,127.05301176,37.24575581,2013-10-24 03:00:00
2013,08,05,19,야간,월,경기,수원시,차대차,127.01658203,37.27818891,2013-08-05 19:00:00
2013,05,29,21,야간,수,경기,수원시,차대사람,127.05248487,37.24142711,2013-05-29 21:00:00
2013,07,16,06,주간,화,경기,수원시,차대차,127.018943,37.25027351,2013-07-16 06:00:00
2013,04,09,13,주간,화,경기,수원시,차대사람,127.00381161,37.26167123,2013-04-09 13:00:00
2013,08,21,08,주간,수,경기,수원시,차대사람,127.02037879,37.2969768,2013-08-21 08:00:00
2013,08,03,01,야간,토,경기,수원시,차량단독,127.03088937,37.27853509,2013-08-03 01:00:00
2013,10,15,16,주간,화,경기,수원시,차대사람,126.94873929,37.26727422,2013-10-15 16:00:00
2013,10,27,18,야간,일,경기,수원시,차대사람,127.028532,37.27772701,2013-10-27 18:00:00
2013,09,11,19,야간,수,경기,수원시,차대차,126.97001529,37.29232185,2013-09-11 19:00:00
2013,05,25,23,야간,토,경기,수원시,차대사람,126.99380173,37.28727417,2013-05-25 23:00:00
2013,05,29,03,야간,수,경기,수원시,차대사람,126.98086488,37.25104608,2013-05-29 03:00:00
2013,09,05,05,야간,목,경기,수원시,차대사람,127.0065144,37.28177114,2013-09-05 05:00:00
2013,09,16,03,야간,월,경기,수원시,차량단독,127.0244024,37.26074274,2013-09-16 03:00:00
2014,05,17,20,야간,토,경기,수원시,차대사람,127.06944695,37.25243297,2014-05-17 20:00:00
2013,04,21,00,야간,일,경기,수원시,차대사람,127.06797251,37.24800174,2013-04-21 00:00:00
