id,lat,lon,status,install_year,geometry
SL_0000,37.280326,127.043026,정상,2014,POINT (127.043026 37.280326)
SL_0001,37.274215,127.037039,정상,2019,POINT (127.037039 37.274215)
SL_0002,37.274221,127.037416,정상,2019,POINT (127.037416 37.274221)
SL_0003,37.274264,127.037758,정상,2019,POINT (127.037758 37.274264)
SL_0004,37.274327,127.03818,정상,2019,POINT (127.03818 37.274327)
SL_0005,37.274336,127.038521,정상,2019,POINT (127.038521 37.274336)
SL_0006,37.274304,127.038868,정상,2019,POINT (127.038868 37.274304)
SL_0007,37.274227,127.039189,정상,2019,POINT (127.039189 37.274227)
SL_0008,37.274144,127.039525,정상,2019,POINT (127.039525 37.274144)
SL_0009,37.268524,127.039263,정상,1997,POINT (127.039263 37.268524)
SL_0010,37.269992,127.041287,정상,1997,POINT (127.041287 37.269992)
SL_0011,37.269906,127.041851,정상,1997,POINT (127.041851 37.269906)
SL_0012,37.269775,127.042149,정상,1997,POINT (127.042149 37.269775)
SL_0013,37.269856,127.042172,정상,1997,POINT (127.042172 37.269856)
SL_0014,37.268699,127.039691,정상,1997,POINT (127.039691 37.268699)
SL_0015,37.268848,127.039843,정상,1997,POINT (127.039843 37.268848)
SL_0016,37.268848,127.039996,정상,1997,POINT (127.039996 37.268848)
SL_0017,37.269172,127.040537,정상,1997,POINT (127.040537 37.269172)
SL_0018,37.269159,127.040683,정상,1997,POINT (127.040683 37.269159)
SL_0019,37.269555,127.040875,고장,1997,POINT (127.040875 37.269555)
SL_0020,37.269969,127.040949,정상,1997,POINT (127.040949 37.269969)
SL_0021,37.2701,127.041073,정상,1997,POINT (127.041073 37.2701)
SL_0022,37.270692,127.049287,정상,2000,POINT (127.049287 37.270692)
SL_0023,37.273101,127.05242,정상,2000,POINT (127.05242 37.273101)
SL_0024,37.273164,127.052065,정상,2000,POINT (127.052065 37.273164)
SL_0025,37.273195,127.051721,정상,2000,POINT (127.051721 37.273195)
SL_0026,37.273234,127.051293,정상,2000,POINT (127.051293 37.273234)
SL_0027,37.273239,127.050706,정상,2000,POINT (127.050706 37.273239)
SL_0028,37.273225,127.050224,정상,2000,POINT (127.050224 37.273225)
SL_0029,37.273223,127.049855,정상,2000,POINT (127.049855 37.273223)
SL_0030,37.273242,127.049359,정상,2000,POINT (127.049359 37.273242)
SL_0031,37.273264,127.048897,정상,2000,POINT (127.048897 37.273264)
SL_0032,37.273274,127.048178,정상,2000,POINT (127.048178 37.273274)
SL_0033,37.27114,127.049496,정상,2000,POINT (127.049496 37.27114)
SL_0034,37.273231,127.047919,정상,2000,POINT (127.047919 37.273231)
SL_0035,37.273184,127.047608,정상,2000,POINT (127.047608 37.273184)
SL_0036,37.273078,127.047236,정상,2000,POINT (127.047236 37.273078)
SL_0037,37.271656,127.049707,정상,2000,POINT (127.049707 37.271656)
SL_0038,37.272126,127.049933,정상,2000,POINT (127.049933 37.272126)
SL_0039,37.272507,127.050117,정상,2000,POINT (127.050117 37.272507)
SL_0040,37.272829,127.050269,정상,2000,POINT (127.050269 37.272829)
SL_0041,37.273061,127.050376,정상,2000,POINT (127.050376 37.273061)
SL_0042,37.2729,127.053339,정상,2000,POINT (127.053339 37.2729)
SL_0043,37.273003,127.052944,정상,2000,POINT (127.052944 37.273003)
SL_0044,37.272771,127.053742,정상,2000,POINT (127.053742 37.272771)
SL_0045,37.271095,127.058194,정상,2000,POINT (127.058194 37.271095)
SL_0046,37.270755,127.059042,정상,2019,POINT (127.059042 37.270755)
SL_0047,37.270601,127.059465,정상,2019,POINT (127.059465 37.270601)
SL_0048,37.270412,127.059969,정상,2019,POINT (127.059969 37.270412)
SL_0049,37.270204,127.060524,정상,2019,POINT (127.060524 37.270204)
SL_0050,37.272624,127.054162,정상,2000,POINT (127.054162 37.272624)
SL_0051,37.272527,127.054429,정상,2000,POINT (127.054429 37.272527)
SL_0052,37.272365,127.054841,정상,2000,POINT (127.054841 37.272365)
SL_0053,37.27227,127.055077,정상,2000,POINT (127.055077 37.27227)
SL_0054,37.272142,127.055444,정상,2000,POINT (127.055444 37.272142)
SL_0055,37.271862,127.056168,정상,2000,POINT (127.056168 37.271862)
SL_0056,37.271592,127.056884,정상,2000,POINT (127.056884 37.271592)
SL_0057,37.271346,127.057521,정상,2000,POINT (127.057521 37.271346)
SL_0058,37.267321,127.055108,정상,1993,POINT (127.055108 37.267321)
SL_0059,37.267908,127.052729,정상,1993,POINT (127.052729 37.267908)
SL_0060,37.268014,127.052332,정상,1993,POINT (127.052332 37.268014)
SL_0061,37.268141,127.051858,정상,1993,POINT (127.051858 37.268141)
SL_0062,37.267929,127.051858,정상,1993,POINT (127.051858 37.267929)
SL_0063,37.267805,127.05238,정상,1993,POINT (127.05238 37.267805)
SL_0064,37.267692,127.052876,정상,1993,POINT (127.052876 37.267692)
SL_0065,37.267577,127.053352,정상,1993,POINT (127.053352 37.267577)
SL_0066,37.267446,127.053896,정상,1993,POINT (127.053896 37.267446)
SL_0067,37.267326,127.054375,정상,1993,POINT (127.054375 37.267326)
SL_0068,37.267207,127.054916,정상,1993,POINT (127.054916 37.267207)
SL_0069,37.267421,127.054719,정상,1993,POINT (127.054719 37.267421)
SL_0070,37.267173,127.055093,정상,1993,POINT (127.055093 37.267173)
SL_0071,37.267094,127.054944,정상,1993,POINT (127.054944 37.267094)
SL_0072,37.26693,127.054625,정상,1993,POINT (127.054625 37.26693)
SL_0073,37.26681,127.054374,정상,1993,POINT (127.054374 37.26681)
SL_0074,37.266651,127.053977,정상,1993,POINT (127.053977 37.266651)
SL_0075,37.266554,127.053692,정상,1993,POINT (127.053692 37.266554)
SL_0076,37.266439,127.053357,정상,1993,POINT (127.053357 37.266439)
SL_0077,37.266297,127.052889,정상,1993,POINT (127.052889 37.266297)
SL_0078,37.266113,127.052269,정상,1993,POINT (127.052269 37.266113)
SL_0079,37.265978,127.051806,정상,1993,POINT (127.051806 37.265978)
SL_0080,37.267527,127.054234,정상,1993,POINT (127.054234 37.267527)
SL_0081,37.265848,127.051397,정상,1993,POINT (127.051397 37.265848)
SL_0082,37.26567,127.050972,정상,1993,POINT (127.050972 37.26567)
SL_0083,37.265467,127.050681,정상,1993,POINT (127.050681 37.265467)
SL_0084,37.265138,127.050433,정상,1993,POINT (127.050433 37.265138)
SL_0085,37.264816,127.050289,정상,1993,POINT (127.050289 37.264816)
SL_0086,37.264544,127.05023,정상,1993,POINT (127.05023 37.264544)
SL_0087,37.264217,127.050139,정상,1993,POINT (127.050139 37.264217)
SL_0088,37.263875,127.050029,정상,1993,POINT (127.050029 37.263875)
SL_0089,37.263593,127.04995,정상,1993,POINT (127.04995 37.263593)
SL_0090,37.263296,127.04984,정상,1993,POINT (127.04984 37.263296)
SL_0091,37.267676,127.053794,정상,1993,POINT (127.053794 37.267676)
SL_0092,37.267766,127.05342,정상,1993,POINT (127.05342 37.267766)
SL_0093,37.267847,127.053067,정상,1993,POINT (127.053067 37.267847)
SL_0094,37.268027,127.052924,정상,1993,POINT (127.052924 37.268027)
SL_0095,37.268237,127.053,정상,1993,POINT (127.053 37.268237)
SL_0096,37.268469,127.053082,정상,1993,POINT (127.053082 37.268469)
SL_0097,37.260141,127.048601,정상,2002,POINT (127.048601 37.260141)
SL_0098,37.257938,127.047373,정상,2002,POINT (127.047373 37.257938)
SL_0099,37.257771,127.047339,정상,2002,POINT (127.047339 37.257771)
SL_0100,37.257449,127.047074,정상,2002,POINT (127.047074 37.257449)
SL_0101,37.257263,127.046931,정상,2002,POINT (127.046931 37.257263)
SL_0102,37.25704,127.046722,정상,2002,POINT (127.046722 37.25704)
SL_0103,37.256841,127.046586,정상,2002,POINT (127.046586 37.256841)
SL_0104,37.256591,127.046366,정상,2002,POINT (127.046366 37.256591)
SL_0105,37.256495,127.04649,정상,2002,POINT (127.04649 37.256495)
SL_0106,37.256763,127.046716,정상,2002,POINT (127.046716 37.256763)
SL_0107,37.256952,127.046866,정상,2002,POINT (127.046866 37.256952)
SL_0108,37.259855,127.048468,정상,2002,POINT (127.048468 37.259855)
SL_0109,37.257197,127.047077,정상,2002,POINT (127.047077 37.257197)
SL_0110,37.257695,127.047478,정상,2002,POINT (127.047478 37.257695)
SL_0111,37.257373,127.047207,정상,2002,POINT (127.047207 37.257373)
SL_0112,37.257796,127.047681,정상,2002,POINT (127.047681 37.257796)
SL_0113,37.257958,127.0479,정상,2002,POINT (127.0479 37.257958)
SL_0114,37.258411,127.048256,정상,2002,POINT (127.048256 37.258411)
SL_0115,37.258575,127.048208,정상,2002,POINT (127.048208 37.258575)
SL_0116,37.258798,127.048188,정상,2002,POINT (127.048188 37.258798)
SL_0117,37.259012,127.048273,정상,2002,POINT (127.048273 37.259012)
SL_0118,37.259298,127.048406,정상,2002,POINT (127.048406 37.259298)
SL_0119,37.259609,127.048355,정상,2002,POINT (127.048355 37.259609)
SL_0120,37.259553,127.048519,정상,2002,POINT (127.048519 37.259553)
SL_0121,37.259816,127.048637,정상,2002,POINT (127.048637 37.259816)
SL_0122,37.260044,127.048747,정상,2002,POINT (127.048747 37.260044)
SL_0123,37.258035,127.048165,정상,2002,POINT (127.048165 37.258035)
SL_0124,37.259339,127.048234,고장,2002,POINT (127.048234 37.259339)
SL_0125,37.259051,127.048104,정상,2002,POINT (127.048104 37.259051)
SL_0126,37.258857,127.048017,정상,2002,POINT (127.048017 37.258857)
SL_0127,37.258663,127.047856,정상,2002,POINT (127.047856 37.258663)
SL_0128,37.25851,127.04754,정상,2002,POINT (127.04754 37.25851)
SL_0129,37.258033,127.04732,정상,2002,POINT (127.04732 37.258033)
SL_0130,37.261561,127.046378,정상,2002,POINT (127.046378 37.261561)
SL_0131,37.262402,127.049484,정상,2002,POINT (127.049484 37.262402)
