id,lat,lon,status,install_year,geometry,dong_name
SL_0000,37.280326,127.043026,정상,2014,POINT (203815.71085189248 520124.4791234945),원천동
SL_0001,37.274215,127.037039,정상,2019,POINT (203285.02623490992 519446.0382080167),매탄동
SL_0002,37.274221,127.037416,정상,2019,POINT (203318.4624827321 519446.71726218204),매탄동
SL_0003,37.274264,127.037758,정상,2019,POINT (203348.7929014889 519451.50157354743),매탄동
SL_0004,37.274327,127.03818,정상,2019,POINT (203386.21766225135 519458.5085110096),매탄동
SL_0005,37.274336,127.038521,정상,2019,POINT (203416.46084563126 519459.5196161902),매탄동
SL_0006,37.274304,127.038868,정상,2019,POINT (203447.2380364599 519455.9807542986),매탄동
SL_0007,37.274227,127.039189,정상,2019,POINT (203475.71135760858 519447.44682393066),매탄동
SL_0008,37.274144,127.039525,정상,2019,POINT (203505.5153812966 519438.2476491945),매탄동
SL_0009,37.268524,127.039263,정상,1997,POINT (203482.5371545443 518814.51496569824),매탄동
SL_0010,37.269992,127.041287,정상,1997,POINT (203661.99018090862 518977.5139905389),매탄동
SL_0011,37.269906,127.041851,정상,1997,POINT (203712.01892766985 518967.9914552951),매탄동
SL_0012,37.269775,127.042149,정상,1997,POINT (203738.45683241313 518953.46445277054),매탄동
SL_0013,37.269856,127.042172,정상,1997,POINT (203740.49283861739 518962.4549616454),매탄동
SL_0014,37.268699,127.039691,정상,1997,POINT (203520.49161747287 518833.95277557196),매탄동
SL_0015,37.268848,127.039843,정상,1997,POINT (203533.96667133225 518850.4948633321),매탄동
SL_0016,37.268848,127.039996,정상,1997,POINT (203547.5373593904 518850.5005889002),매탄동
SL_0017,37.269172,127.040537,정상,1997,POINT (203595.50719701152 518886.47940445284),매탄동
SL_0018,37.269159,127.040683,정상,1997,POINT (203608.45756882557 518885.0421874739),매탄동
SL_0019,37.269555,127.040875,고장,1997,POINT (203625.4683953857 518928.9986783951),매탄동
SL_0020,37.269969,127.040949,정상,1997,POINT (203632.01204915287 518974.94835951866),매탄동
SL_0021,37.2701,127.041073,정상,1997,POINT (203643.00404087093 518989.4918628087),매탄동
SL_0022,37.270692,127.049287,정상,2000,POINT (204371.51744986858 519055.5415328386),매탄동
SL_0023,37.273101,127.05242,정상,2000,POINT (204649.2512162806 519323.04835482396),매탄동
SL_0024,37.273164,127.052065,정상,2000,POINT (204617.761593847 519330.02288349805),매탄동
SL_0025,37.273195,127.051721,정상,2000,POINT (204587.24957939563 519333.4466146525),매탄동
SL_0026,37.273234,127.051293,정상,2000,POINT (204549.28696586902 519337.7542764762),매탄동
SL_0027,37.273239,127.050706,정상,2000,POINT (204497.22436682152 519338.28112541296),매탄동
SL_0028,37.273225,127.050224,정상,2000,POINT (204454.47557041555 519336.70456315496),매탄동
SL_0029,37.273223,127.049855,정상,2000,POINT (204421.74827424326 519336.4652874814),매탄동
SL_0030,37.273242,127.049359,정상,2000,POINT (204377.75585344995 519338.5508936413),매탄동
SL_0031,37.273264,127.048897,정상,2000,POINT (204336.77881532587 519340.971236789),매탄동
SL_0032,37.273274,127.048178,정상,2000,POINT (204273.00860851054 519342.0483480907),매탄동
SL_0033,37.27114,127.049496,정상,2000,POINT (204390.02872480024 519105.27147655486),매탄동
SL_0034,37.273231,127.047919,정상,2000,POINT (204250.03976703057 519337.2644220139),매탄동
SL_0035,37.273184,127.047608,정상,2000,POINT (204222.45912744317 519332.0343056467),매탄동
SL_0036,37.273078,127.047236,정상,2000,POINT (204189.47149388786 519320.253593124),매탄동
SL_0037,37.271656,127.049707,정상,2000,POINT (204408.71320302357 519162.54838535155),매탄동
SL_0038,37.272126,127.049933,정상,2000,POINT (204428.73052106937 519214.7208360268),매탄동
SL_0039,37.272507,127.050117,정상,2000,POINT (204445.02771960347 519257.01389828144),매탄동
SL_0040,37.272829,127.050269,정상,2000,POINT (204458.49007037465 519292.75750285166),매탄동
SL_0041,37.273061,127.050376,정상,2000,POINT (204467.9664729084 519318.51055479824),매탄동
SL_0042,37.2729,127.053339,정상,2000,POINT (204730.77203795256 519300.7863741029),매탄동
SL_0043,37.273003,127.052944,정상,2000,POINT (204695.73208008244 519312.1979217902),매탄동
SL_0044,37.272771,127.053742,정상,2000,POINT (204766.52327189068 519286.48982372123),매탄동
SL_0045,37.271095,127.058194,정상,2000,POINT (205161.49763468458 519100.71630562074),매탄동
SL_0046,37.270755,127.059042,정상,2019,POINT (205236.73426975255 519063.0287723012),원천동
SL_0047,37.270601,127.059465,정상,2019,POINT (205274.2630296533 519045.9609271806),원천동
SL_0048,37.270412,127.059969,정상,2019,POINT (205318.97873504998 519025.01340507215),원천동
SL_0049,37.270204,127.060524,정상,2019,POINT (205368.21949369521 519001.9603422152),원천동
SL_0050,37.272624,127.054162,정상,2000,POINT (204803.78355014036 519270.1965989996),매탄동
SL_0051,37.272527,127.054429,정상,2000,POINT (204827.47074330703 519259.44486060756),매탄동
SL_0052,37.272365,127.054841,정상,2000,POINT (204864.02267992563 519241.48675411893),매탄동
SL_0053,37.27227,127.055077,정상,2000,POINT (204884.96040996123 519230.95555054926),매탄동
SL_0054,37.272142,127.055444,정상,2000,POINT (204917.51917564383 519216.7687690623),매탄동
SL_0055,37.271862,127.056168,정상,2000,POINT (204981.75168155308 519185.73147285136),매탄동
SL_0056,37.271592,127.056884,정상,2000,POINT (205045.27444303222 519155.8040702017),매탄동
SL_0057,37.271346,127.057521,정상,2000,POINT (205101.78918024036 519128.5364724159),매탄동
SL_0058,37.267321,127.055108,정상,1993,POINT (204888.02981278516 518681.7036731011),매탄동
SL_0059,37.267908,127.052729,정상,1993,POINT (204676.97834103394 518746.7302594197),매탄동
SL_0060,37.268014,127.052332,정상,1993,POINT (204641.7585639625 518758.47487417737),매탄동
SL_0061,37.268141,127.051858,정상,1993,POINT (204599.70784954596 518772.54652727174),매탄동
SL_0062,37.267929,127.051858,정상,1993,POINT (204599.72074481516 518749.01819809875),매탄동
SL_0063,37.267805,127.05238,정상,1993,POINT (204646.02892259925 518735.28184934496),매탄동
SL_0064,37.267692,127.052876,정상,1993,POINT (204690.03040438588 518722.76527664583),매탄동
SL_0065,37.267577,127.053352,정상,1993,POINT (204732.25816687514 518710.0259689452),매탄동
SL_0066,37.267446,127.053896,정상,1993,POINT (204780.51859709402 518695.5145844664),매탄동
SL_0067,37.267326,127.054375,정상,1993,POINT (204823.0130508297 518682.22097187024),매탄동
SL_0068,37.267207,127.054916,정상,1993,POINT (204871.0069278622 518669.0417471704),매탄동
SL_0069,37.267421,127.054719,정상,1993,POINT (204853.51944323562 518692.7819158429),매탄동
SL_0070,37.267173,127.055093,정상,1993,POINT (204886.7088899938 518665.2774629246),매탄동
SL_0071,37.267094,127.054944,정상,1993,POINT (204873.49778881617 518656.50214729167),매탄동
SL_0072,37.26693,127.054625,정상,1993,POINT (204845.21319737815 518638.2846073081),매탄동
SL_0073,37.26681,127.054374,정상,1993,POINT (204822.95726038306 518624.953864302),매탄동
SL_0074,37.266651,127.053977,정상,1993,POINT (204787.75354466727 518607.28745946544),매탄동
SL_0075,37.266554,127.053692,정상,1993,POINT (204762.4801848813 518596.507758936),매탄동
SL_0076,37.266439,127.053357,정상,1993,POINT (204732.77288092035 518583.7279448935),매탄동
SL_0077,37.266297,127.052889,정상,1993,POINT (204691.27002527806 518567.9451024254),매탄동
SL_0078,37.266113,127.052269,정상,1993,POINT (204636.28711714965 518547.4937359829),매탄동
SL_0079,37.265978,127.051806,정상,1993,POINT (204595.22697957317 518532.48849317577),매탄동
SL_0080,37.267527,127.054234,정상,1993,POINT (204810.49369187947 518704.52131165576),매탄동
SL_0081,37.265848,127.051397,정상,1993,POINT (204558.95623915808 518518.0409652975),매탄동
SL_0082,37.26567,127.050972,정상,1993,POINT (204521.26902798557 518498.265663233),매탄동
SL_0083,37.265467,127.050681,정상,1993,POINT (204495.46909259903 518475.72232299735),매탄동
SL_0084,37.265138,127.050433,정상,1993,POINT (204473.49063682905 518439.19728349184),매탄동
SL_0085,37.264816,127.050289,정상,1993,POINT (204460.73658969873 518403.4540796973),매탄동
SL_0086,37.264544,127.05023,정상,1993,POINT (204455.51919355945 518373.2640271089),매탄동
SL_0087,37.264217,127.050139,정상,1993,POINT (204447.46650826684 518336.9684310046),매탄동
SL_0088,37.263875,127.050029,정상,1993,POINT (204437.72927377143 518299.00721440045),매탄동
SL_0089,37.263593,127.04995,정상,1993,POINT (204430.73824580412 518267.7064184159),매탄동
SL_0090,37.263296,127.04984,정상,1993,POINT (204420.9982243182 518234.7394421188),매탄동
SL_0091,37.267676,127.053794,정상,1993,POINT (204771.4567912182 518721.03545161925),매탄동
SL_0092,37.267766,127.05342,정상,1993,POINT (204738.27784304568 518731.0050983067),매탄동
SL_0093,37.267847,127.053067,정상,1993,POINT (204706.9622020674 518739.9770765698),매탄동
SL_0094,37.268027,127.052924,정상,1993,POINT (204694.2671446976 518759.9468554253),매탄동
SL_0095,37.268237,127.053,정상,1993,POINT (204700.99515865406 518783.25699298526),매탄동
SL_0096,37.268469,127.053082,정상,1993,POINT (204708.25395201822 518809.00905460544),매탄동
SL_0097,37.260141,127.048601,정상,2002,POINT (204311.27401732042 517884.5322850533),매탄동
SL_0098,37.257938,127.047373,정상,2002,POINT (204202.4635666777 517639.98257068027),매탄동
SL_0099,37.257771,127.047339,정상,2002,POINT (204199.4566937839 517621.44698539784),매탄동
SL_0100,37.257449,127.047074,정상,2002,POINT (204175.9662390219 517585.6988988548),매탄동
SL_0101,37.257263,127.046931,정상,2002,POINT (204163.29084829413 517565.0498570701),매탄동
SL_0102,37.25704,127.046722,정상,2002,POINT (204144.76248874044 517540.29159106617),매탄동
SL_0103,37.256841,127.046586,정상,2002,POINT (204132.70864237935 517518.20013144804),매탄동
SL_0104,37.256591,127.046366,정상,2002,POINT (204113.20572891278 517490.44493012823),매탄동
SL_0105,37.256495,127.04649,정상,2002,POINT (204124.21121133558 517479.79600960034),매탄동
SL_0106,37.256763,127.046716,정상,2002,POINT (204144.24539622248 517509.54918322305),매탄동
SL_0107,37.256952,127.046866,정상,2002,POINT (204157.54173178045 517530.5314492973),매탄동
SL_0108,37.259855,127.048468,정상,2002,POINT (204299.4921730529 517852.7852301154),매탄동
SL_0109,37.257197,127.047077,정상,2002,POINT (204176.24628277076 517557.73144593276),매탄동
SL_0110,37.257695,127.047478,정상,2002,POINT (204211.7916570377 517613.0184930564),매탄동
SL_0111,37.257373,127.047207,정상,2002,POINT (204187.76896649282 517577.27010692883),매탄동
SL_0112,37.257796,127.047681,정상,2002,POINT (204229.79421898426 517624.2367778842),매탄동
SL_0113,37.257958,127.0479,정상,2002,POINT (204249.2126688693 517642.2257518796),매탄동
SL_0114,37.258411,127.048256,정상,2002,POINT (204280.76782337192 517692.5168667478),매탄동
SL_0115,37.258575,127.048208,정상,2002,POINT (204276.50049350868 517710.7158273001),매탄동
SL_0116,37.258798,127.048188,정상,2002,POINT (204274.7137046465 517735.4640228974),매탄동
SL_0117,37.259012,127.048273,정상,2002,POINT (204282.2418634196 517759.2181231113),매탄동
SL_0118,37.259298,127.048406,정상,2002,POINT (204294.02390488124 517790.9651491361),매탄동
SL_0119,37.259609,127.048355,정상,2002,POINT (204289.4821350546 517825.4784006331),매탄동
SL_0120,37.259553,127.048519,정상,2002,POINT (204304.03345738997 517819.2708252867),매탄동
SL_0121,37.259816,127.048637,정상,2002,POINT (204314.48602549316 517848.4646028244),매탄동
SL_0122,37.260044,127.048747,정상,2002,POINT (204324.23086081469 517873.7736404884),매탄동
SL_0123,37.258035,127.048165,정상,2002,POINT (204272.71649154735 517650.7833349629),매탄동
SL_0124,37.259339,127.048234,고장,2002,POINT (204278.76372185838 517795.50764207664),매탄동
SL_0125,37.259051,127.048104,정상,2002,POINT (204267.24786834378 517763.53880753083),매탄동
SL_0126,37.258857,127.048017,정상,2002,POINT (204259.5411267712 517742.0042808294),매탄동
SL_0127,37.258663,127.047856,정상,2002,POINT (204245.26986066424 517720.46643991815),매탄동
SL_0128,37.25851,127.04754,정상,2002,POINT (204217.24626568737 517703.4719884252),매탄동
SL_0129,37.258033,127.04732,정상,2002,POINT (204197.75665944346 517650.52355547564),매탄동
SL_0130,37.261561,127.046378,정상,2002,POINT (204113.99996216013 518042.02854620654),매탄동
SL_0131,37.262402,127.049484,정상,2002,POINT (204389.47154692237 518135.5044373424),매탄동
SL_0132,37.262677,127.049597,정상,2002,POINT (204399.47920134716 518166.02989448607),매탄동
SL_0133,37.26287,127.049693,정상,2002,POINT (204407.98358993282 518187.4540008556),매탄동
SL_0134,37.26297,127.049674,정상,2002,POINT (204406.29238199367 518198.5513747449),매탄동
SL_0135,37.262807,127.050043,정상,2002,POINT (204439.03380027675 518180.4784588074),매탄동
SL_0136,37.262605,127.049947,정상,2002,POINT (204430.5300109934 518158.0554779045),매탄동
SL_0137,37.262348,127.049828,정상,2002,POINT (204419.98917825276 518129.5273901388),매탄동
SL_0138,37.262005,127.049693,정상,2002,POINT (204408.03400193216 518091.4540703692),매탄동
SL_0139,37.261713,127.049557,정상,2002,POINT (204395.98704702422 518059.04083427176),매탄동
SL_0140,37.261384,127.049416,정상,2002,POINT (204383.49861303676 518022.52103084594),매탄동
SL_0141,37.261439,127.046958,정상,2002,POINT (204165.4560775413 518028.5140461366),매탄동
SL_0142,37.261064,127.049275,정상,2002,POINT (204371.00955001506 517987.0000911044),매탄동
SL_0143,37.26069,127.049106,정상,2002,POINT (204356.03970000986 517945.4848252684),매탄동
SL_0144,37.260411,127.048981,정상,2002,POINT (204344.9673665536 517914.5149493787),매탄동
SL_0145,37.260456,127.048632,정상,2002,POINT (204314.00598524217 517919.4931972054),매탄동
SL_0146,37.260789,127.048773,정상,2002,POINT (204326.49464675243 517956.45682128676),매탄동
SL_0147,37.260929,127.048474,정상,2002,POINT (204299.96336604786 517971.98075026943),매탄동
SL_0148,37.261033,127.047995,정상,2002,POINT (204257.46705174274 517983.5012783365),매탄동
SL_0149,37.261146,127.047466,정상,2002,POINT (204210.53503565444 517996.0186387865),매탄동
SL_0150,37.261263,127.046868,정상,2002,POINT (204157.4822114608 518008.9771583827),매탄동
SL_0151,37.261367,127.04631,정상,2002,POINT (204107.97850025882 518020.4949757725),매탄동
