시군코드,시군명,시도명,시군구명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,신호기설치방식,도로형태,주도로여부,신호등관리번호,신호등구분,신호등색종류,신호등화방식,신호등화순서,신호등화시간,광원종류,신호제어방식,신호시간결정방식,점멸등운영여부,점멸등운영시작시각,점멸등운영종료시각,보행자작동신호기유무,잔여시간표시기유무,시각장애인용음향신호기유무,도로안내표지일련번호,관리기관명,관리기관전화번호,데이터기준일자
41360.0,남양주시,경기도,남양주시,시도,,경춘로1286번길,2,경기도 남양주시 경춘로1286번길 9,경기도 남양주시 평내동 590번지,37.64848505,127.2369148,2,2,N,3924,2,2,2,녹색+적색,27+43,2,3,1,N,00:00,00:00,Y,N,N,,경기도 남양주시청,031-590-2114,2024-08-23
41360.0,남양주시,경기도,남양주시,시도,,사릉로,2,,경기도 남양주시 진건읍 사능리 106-7,37.64662581,127.1941882,3,2,Y,5320,1,3,3,녹색+황색+적색,61+3+61,2,3,1,Y,00:00,05:00,N,N,N,,경기도 남양주시청,031-590-2114,2024-08-23
41360.0,남양주시,경기도,남양주시,시도,,사릉로,2,,경기도 남양주시 진건읍 사능리 174-1,37.6491598,127.1914202,3,2,Y,5324,1,3,3,녹색+황색+적색,138+3+57,2,3,1,N,00:00,00:00,N,N,N,,경기도 남양주시청,031-590-2114,2024-08-23
41360.0,남양주시,경기도,남양주시,시도,,천마산로,1,,경기도 남양주시 호평동 452-6,37.66962048,127.250541,3,1,Y,4076,1,3,3,녹색+황색+적색,76+4+16,2,3,1,Y,22:00,06:00,N,N,N,,경기도 남양주시청,031-590-2114,2024-08-23
41360.0,남양주시,경기도,남양주시,시도,,녹촌로,1,,경기도 남양주시 화도읍 창현리 770,37.64433776,127.300616,3,1,Y,5229,1,3,3,녹색화살표/적색+황색/적색+적색,21+3+88,2,3,1,N,00:00,00:00,N,Y,N,,경기도 남양주시청,031-590-2114,2024-08-23
41360.0,남양주시,경기도,남양주시,일반국도,45번,경춘로,2,,경기도 남양주시 화도읍 창현리 산35-3,37.652127,127.3012675,3,2,Y,5233,2,2,2,적색+녹색,96+30,2,3,1,N,00:00,00:00,Y,Y,N,,경기도 남양주시청,031-590-2114,2024-08-23
41360.0,남양주시,경기도,남양주시,일반국도,45번,경춘로,1,경기도 남양주시 경춘로 390,경기도 남양주시 다산동 4114-15번지,37.60567981,127.1576206,3,2,Y,5236,2,2,2,적색+녹색,96+29,2,3,1,N,00:00,00:00,Y,Y,N,,경기도 남양주시청,031-590-2114,2024-08-23
41360.0,남양주시,경기도,남양주시,지방도,387번,비룡로,2,,경기도 남양주시 화도읍 창현리 산35-3,37.652124,127.301227,3,2,Y,5241,1,4,3,녹색/녹색화살표+황색+적색,109+4+25,2,3,1,N,00:00,00:00,N,N,N,,경기도 남양주시청,031-590-2114,2024-08-23
41360.0,남양주시,경기도,남양주시,시도,,월문천로,2,경기도 남양주시 와부읍 월문천로 88,경기도 남양주시 와부읍 덕소리 103-6번지,37.58645533,127.222312,2,2,N,2025,2,2,2,녹색+적색,96+19,2,3,1,N,00:00,00:00,Y,N,N,,경기도 남양주시청,031-590-2114,2024-08-23
41360.0,남양주시,경기도,남양주시,지방도,86번,덕소로,2,,경기도 남양주시 와부읍 덕소리 604-33,37.588455,127.207168,3,2,Y,2147,2,2,2,적색+녹색,96+14,2,3,1,N,00:00,00:00,Y,Y,N,,경기도 남양주시청,031-590-2114,2024-08-23
41360.0,남양주시,경기도,남양주시,시도,,덕소로97번길,2,경기도 남양주시 와부읍 덕소로97번길 61,경기도 남양주시 와부읍 덕소리 144번지,37.58802662,127.218376,3,1,Y,2149,1,3,3,녹색+황색+적색,75+3+22,2,3,1,Y,00:00,06:00,N,Y,N,,경기도 남양주시청,031-590-2114,2024-08-23
41360.0,남양주시,경기도,남양주시,시도,,월문천로,1,,경기도 남양주시 와부읍 덕소리 84-17,37.589171,127.224504,3,2,Y,2153,2,2,2,적색+녹색,98+22,2,3,1,N,00:00,00:00,Y,Y,N,,경기도 남양주시청,031-590-2114,2024-08-23
41360.0,남양주시,경기도,남양주시,시도,,의안로,2,,경기도 남양주시 평내동 647,37.64860005,127.243926,2,2,Y,3943,1,4,3,녹색/녹색화살표+황색+적색,98+4+40,2,3,1,N,00:00,00:00,N,Y,Y,,경기도 남양주시청,031-590-2114,2024-08-23
41360.0,남양주시,경기도,남양주시,시도,,의안로,2,,경기도 남양주시 평내동 647,37.64860005,127.243926,3,2,Y,3947,1,4,4,녹색+녹색화살표/녹색+황색+적색,80+20+3+45,2,3,1,Y,00:00,05:00,N,Y,Y,,경기도 남양주시청,031-590-2114,2024-08-23
41360.0,남양주시,경기도,남양주시,시도,,평내로,2,,경기도 남양주시 평내동 647,37.64860005,127.243926,3,1,Y,3952,1,3,3,녹색+황색+적색,125+4+30,2,3,1,Y,00:00,05:00,N,Y,Y,,경기도 남양주시청,031-590-2114,2024-08-23
41360.0,남양주시,경기도,남양주시,일반국도,45번,경춘로,2,,경기도 남양주시 화도읍 답내리 1074-2,37.65516879,127.3422971,3,1,Y,4561,1,3,3,녹색+황색+적색,14+3+40,2,3,1,Y,20:00,07:00,N,Y,N,,경기도 남양주시청,031-590-2114,2024-08-23
41360.0,남양주시,경기도,남양주시,지방도,387번,수레로,2,,경기도 남양주시 와부읍 덕소리 393-1,37.592895,127.2145052,3,2,Y,2101,1,4,4,녹색+녹색화살표/녹색+황색+적색,80+20+3+45,2,3,1,Y,00:00,05:00,N,Y,Y,,경기도 남양주시청,031-590-2114,2024-08-23
41360.0,남양주시,경기도,남양주시,지방도,387번,수레로,1,경기도 남양주시 와부읍 수레로 3-1,경기도 남양주시 와부읍 덕소리 480-15번지,37.58689849,127.2126489,3,2,Y,2105,2,2,2,적색+녹색,96+16,2,3,1,N,00:00,00:00,Y,Y,N,,경기도 남양주시청,031-590-2114,2024-08-23
41360.0,남양주시,경기도,남양주시,시도,,석실로,1,,경기도 남양주시 와부읍 덕소리 43-14,37.593009,127.221392,3,2,Y,2109,1,4,3,녹색/녹색화살표+황색+적색,33+3+85,2,3,1,Y,00:00,05:00,N,Y,N,,경기도 남양주시청,031-590-2114,2024-08-23
41360.0,남양주시,경기도,남양주시,지방도,383번,진건오남로,1,경기도 남양주시 진건오남로 555번길 19,경기도 남양주시 오남읍 오남리 887번지 신동아파밀리에아파트,37.68312359,127.2079379,3,1,Y,2007,1,3,3,녹색+황색+적색,75+4+33,2,3,1,Y,23:00,06:00,N,Y,Y,,경기도 남양주시청,031-590-2114,2024-08-23
