year,month,day,hour,주야,요일,city,district,accident_type,lon,lat,datetime
2012,01,13,16,주간,화,서울,강서구,차량단독,126.82199465,37.54415531,2012-01-13 16:00:00
2012,07,09,10,주간,월,서울,서초구,차대차,127.05144261,37.45103974,2012-07-09 10:00:00
2012,01,01,01,야간,일,서울,은평구,차대사람,126.93187672,37.61284962,2012-01-01 01:00:00
2012,08,28,04,야간,화,서울,서초구,차대차,127.05133623,37.45181451,2012-08-28 04:00:00
2012,01,07,23,야간,일,서울,강남구,차대차,127.05085267,37.50051332,2012-01-07 23:00:00
2012,01,11,21,야간,수,서울,중랑구,차대사람,127.0932003,37.59818414,2012-01-11 21:00:00
2012,06,08,04,야간,금,서울,송파구,차대차,127.13976902,37.49504921,2012-06-08 04:00:00
2012,01,12,04,야간,목,서울,관악구,차대사람,126.94352222,37.48218256,2012-01-12 04:00:00
2012,01,07,09,주간,토,서울,동작구,차대차,126.90622325,37.48887835,2012-01-07 09:00:00
2012,01,11,20,야간,수,서울,송파구,차대사람,127.12215257,37.48658446,2012-01-11 20:00:00
2012,01,01,02,야간,일,서울,중구,차대차,126.99234479,37.56818425,2012-01-01 02:00:00
2012,05,20,14,주간,일,서울,강북구,차량단독,127.03670794,37.6125326,2012-05-20 14:00:00
2012,06,06,10,주간,수,서울,양천구,차대차,126.87710779,37.52419662,2012-06-06 10:00:00
2012,04,30,08,주간,월,서울,강동구,차대차,127.14362484,37.55015195,2012-04-30 08:00:00
2012,01,01,02,야간,일,서울,서초구,차대사람,127.0348466,37.48369509,2012-01-01 02:00:00
2012,01,03,07,주간,화,서울,관악구,차대차,126.93730921,37.46454058,2012-01-03 07:00:00
2012,05,08,22,야간,화,서울,성동구,차대사람,127.05313264,37.53936142,2012-05-08 22:00:00
2012,05,04,01,야간,금,서울,서대문구,차대사람,126.94679133,37.58633094,2012-05-04 01:00:00
2012,06,06,19,야간,수,서울,구로구,차대차,126.8852497,37.50703249,2012-06-06 19:00:00
2012,06,04,18,야간,월,서울,금천구,차대사람,126.90114473,37.45480842,2012-06-04 18:00:00
2012,06,14,05,야간,목,서울,구로구,차대사람,126.85634455,37.49745038,2012-06-14 05:00:00
2012,05,22,17,주간,화,서울,영등포구,차대사람,126.89561996,37.5216879,2012-05-22 17:00:00
2012,06,01,20,야간,금,서울,금천구,차대사람,126.91417281,37.45007848,2012-06-01 20:00:00
2012,06,08,17,주간,금,서울,강남구,차대사람,127.03308793,37.48639224,2012-06-08 17:00:00
2012,06,15,13,주간,금,서울,송파구,차대차,127.11370083,37.51993452,2012-06-15 13:00:00
2012,04,28,05,야간,토,서울,은평구,차량단독,126.92239531,37.58619605,2012-04-28 05:00:00
2012,05,02,06,주간,수,서울,중랑구,차대사람,127.07520281,37.59365006,2012-05-02 06:00:00
2012,05,19,01,야간,토,서울,영등포구,차대차,126.9260552,37.5269594,2012-05-19 01:00:00
2012,06,05,23,야간,화,서울,서대문구,차대차,126.94358745,37.58917313,2012-06-05 23:00:00
2012,06,04,11,주간,월,서울,강남구,차대차,127.06521974,37.50459615,2012-06-04 11:00:00
2012,06,08,20,야간,금,서울,성동구,차대차,127.05768208,37.53377212,2012-06-08 20:00:00
2012,05,22,03,야간,화,서울,동작구,차대차,126.94765444,37.50316751,2012-05-22 03:00:00
2012,06,05,15,주간,화,서울,영등포구,차대차,126.8967413,37.5131308,2012-06-05 15:00:00
2012,06,07,11,주간,목,서울,은평구,차대차,126.91916336,37.63040886,2012-06-07 11:00:00
2012,04,28,20,야간,토,서울,양천구,차대사람,126.86365318,37.54003367,2012-04-28 20:00:00
2012,05,03,18,야간,목,서울,금천구,차대차,126.88962647,37.47390336,2012-05-03 18:00:00
2012,05,12,08,주간,토,서울,송파구,차대차,127.07062712,37.51065503,2012-05-12 08:00:00
2012,05,20,01,야간,일,서울,성동구,차대사람,127.05441658,37.54995716,2012-05-20 01:00:00
2012,05,27,05,야간,일,서울,강서구,차량단독,126.82270179,37.55858085,2012-05-27 05:00:00
2012,05,19,06,주간,토,서울,강남구,차대차,127.06744721,37.50091776,2012-05-19 06:00:00
2012,05,27,03,야간,일,서울,영등포구,차대차,126.91250633,37.51854627,2012-05-27 03:00:00
2012,06,04,08,주간,월,서울,동대문구,차대차,127.07239885,37.57886686,2012-06-04 08:00:00
2012,06,09,15,주간,토,서울,도봉구,차대차,127.04172416,37.63150738,2012-06-09 15:00:00
2012,05,02,09,주간,수,서울,광진구,차대사람,127.08663806,37.53728415,2012-05-02 09:00:00
2012,05,18,19,야간,금,서울,서대문구,차대차,126.96157746,37.55887223,2012-05-18 19:00:00
2012,05,05,23,야간,토,서울,금천구,차대사람,126.91258639,37.46210377,2012-05-05 23:00:00
2012,06,09,22,야간,토,서울,서초구,차대차,126.98210361,37.48535951,2012-06-09 22:00:00
2012,04,18,13,주간,수,서울,종로구,차대사람,126.98591819,37.5773051,2012-04-18 13:00:00
2012,03,13,23,야간,화,서울,관악구,차대사람,126.96883944,37.47523243,2012-03-13 23:00:00
2012,03,09,11,주간,금,서울,중랑구,차대사람,127.09269214,37.58957453,2012-03-09 11:00:00
2012,03,20,00,야간,화,서울,강남구,차대차,127.06514815,37.50523585,2012-03-20 00:00:00
2012,03,31,00,야간,토,서울,영등포구,차대차,126.90514284,37.53238119,2012-03-31 00:00:00
2012,04,04,02,야간,수,서울,송파구,차대사람,127.1115797,37.49031787,2012-04-04 02:00:00
2012,02,29,22,야간,수,서울,동작구,차대사람,126.96940062,37.48543835,2012-02-29 22:00:00
2012,03,23,19,야간,금,서울,영등포구,차대사람,126.90451852,37.49843314,2012-03-23 19:00:00
2012,03,29,07,주간,목,서울,강서구,차대사람,126.81533222,37.56835394,2012-03-29 07:00:00
2012,03,06,02,야간,화,서울,성동구,차대사람,127.03868584,37.5582703,2012-03-06 02:00:00
2012,03,19,22,야간,월,서울,서초구,차대사람,127.01567858,37.50409695,2012-03-19 22:00:00
2012,03,24,21,야간,토,서울,마포구,차대사람,126.90310275,37.55686951,2012-03-24 21:00:00
2012,03,14,23,야간,수,서울,서초구,차대차,126.99741863,37.47358177,2012-03-14 23:00:00
2012,03,20,02,야간,화,서울,강남구,차대사람,127.04039514,37.50668346,2012-03-20 02:00:00
2012,04,19,21,야간,목,서울,관악구,차대차,126.91927866,37.47257459,2012-04-19 21:00:00
2012,04,22,04,야간,일,서울,강남구,차대사람,127.05590603,37.522156,2012-04-22 04:00:00
2012,03,12,23,야간,월,서울,중랑구,차대사람,127.1003954,37.59999339,2012-03-12 23:00:00
2012,04,14,20,야간,토,서울,용산구,차대사람,126.97206166,37.55569275,2012-04-14 20:00:00
2012,04,13,07,주간,금,서울,금천구,차대사람,126.9054946,37.4566331,2012-04-13 07:00:00
2012,04,17,06,주간,화,서울,금천구,차대차,126.89764841,37.46640918,2012-04-17 06:00:00
2012,03,15,17,주간,목,서울,동대문구,차대사람,127.0357998,37.57816077,2012-03-15 17:00:00
2012,04,02,12,주간,월,서울,서초구,차대차,127.01154758,37.50257468,2012-04-02 12:00:00
2012,04,04,20,야간,수,서울,영등포구,차대사람,126.90829473,37.49729838,2012-04-04 20:00:00
2012,04,09,07,주간,월,서울,강서구,차대사람,126.84395767,37.53226445,2012-04-09 07:00:00
2012,03,09,19,야간,금,서울,양천구,차대사람,126.83840834,37.52111988,2012-03-09 19:00:00
2012,03,05,22,야간,월,서울,종로구,차대사람,126.96405074,37.57239466,2012-03-05 22:00:00
2012,03,10,04,야간,토,서울,서초구,차대사람,127.02001521,37.51064048,2012-03-10 04:00:00
2012,03,15,01,야간,목,서울,영등포구,차대사람,126.91776616,37.52610761,2012-03-15 01:00:00
2012,03,23,19,야간,금,서울,금천구,차대사람,126.88231614,37.48268965,2012-03-23 19:00:00
2012,03,16,19,야간,금,서울,은평구,차대사람,126.91560478,37.60290051,2012-03-16 19:00:00
2012,03,25,14,주간,일,서울,서대문구,차대차,126.91695128,37.5682596,2012-03-25 14:00:00
2012,04,07,05,야간,토,서울,종로구,차대사람,126.97681891,37.56996423,2012-04-07 05:00:00
2012,04,09,22,야간,월,서울,금천구,차대사람,126.89926012,37.47132077,2012-04-09 22:00:00
2012,04,21,09,주간,토,서울,동대문구,차대사람,127.06648701,37.56128702,2012-04-21 09:00:00
2012,03,06,01,야간,화,서울,강남구,차대사람,127.04150143,37.50524558,2012-03-06 01:00:00
2012,06,01,21,야간,금,서울,중구,차대사람,126.99290432,37.55580213,2012-06-01 21:00:00
2012,06,04,16,주간,월,서울,영등포구,차대사람,126.8779694,37.51719767,2012-06-04 16:00:00
2012,05,22,01,야간,화,서울,서초구,차대사람,127.02429225,37.50529471,2012-05-22 01:00:00
2012,05,04,18,야간,금,서울,강서구,차대사람,126.84988526,37.54826907,2012-05-04 18:00:00
2012,05,04,10,주간,금,서울,관악구,차대차,126.98306898,37.47165405,2012-05-04 10:00:00
2012,05,17,00,야간,목,서울,중랑구,차대사람,127.07241135,37.61231584,2012-05-17 00:00:00
2012,05,19,03,야간,토,서울,강동구,차대사람,127.12626328,37.53783984,2012-05-19 03:00:00
2012,05,23,07,주간,수,서울,구로구,차량단독,126.85630917,37.48839159,2012-05-23 07:00:00
2012,03,30,10,주간,금,서울,강북구,차대사람,127.01142834,37.66295059,2012-03-30 10:00:00
2012,04,23,05,야간,월,서울,금천구,차량단독,126.87878136,37.47519888,2012-04-23 05:00:00
2012,03,24,17,주간,토,서울,중랑구,차대사람,127.07782962,37.6119027,2012-03-24 17:00:00
2012,04,05,00,야간,목,서울,양천구,차대사람,126.86387417,37.54999472,2012-04-05 00:00:00
2012,04,21,11,주간,토,서울,영등포구,차대차,126.88041518,37.52385347,2012-04-21 11:00:00
2012,04,07,03,야간,토,서울,양천구,차대차,126.83085053,37.51460562,2012-04-07 03:00:00
2012,04,18,18,야간,수,서울,광진구,차대사람,127.07167004,37.54792086,2012-04-18 18:00:00
2012,04,18,14,주간,수,서울,영등포구,차대사람,126.90865401,37.4876016,2012-04-18 14:00:00
2012,04,18,13,주간,수,서울,중구,차대사람,126.96441377,37.55332381,2012-04-18 13:00:00
2012,03,07,00,야간,수,서울,은평구,차대사람,126.93516463,37.60208539,2012-03-07 00:00:00
2012,03,31,05,야간,토,서울,구로구,차량단독,126.88231294,37.49269467,2012-03-31 05:00:00
2012,04,05,13,주간,목,서울,중랑구,차대차,127.07248812,37.59296425,2012-04-05 13:00:00
2012,04,17,03,야간,화,서울,구로구,차대차,126.84497258,37.5042111,2012-04-17 03:00:00
2012,04,21,21,야간,토,서울,서초구,차대사람,126.98275814,37.49378107,2012-04-21 21:00:00
