발생년월일시,주야,요일,district,사고유형_대분류,가해자법규위반,X_coord,Y_coord
2019-01-02 10,주,수,중구,차대사람,안전운전 의무 불이행,126.9952985,37.56844929
2019-01-03 12,주,목,노원구,차대사람,안전운전 의무 불이행,127.0705398,37.66189171
2019-01-03 17,주,목,중구,차대사람,안전운전 의무 불이행,126.9887834,37.56240025
2019-01-08 04,야,화,강서구,차대사람,안전운전 의무 불이행,126.867315,37.5540963
2019-01-14 17,주,월,구로구,차대사람,안전운전 의무 불이행,126.8872128,37.48971867
2019-01-16 22,야,수,강남구,차대사람,안전운전 의무 불이행,127.0633317,37.50823968
2019-01-17 05,야,목,강동구,차대사람,과속,127.1497905,37.5317016
2019-01-18 00,야,금,구로구,차대사람,안전운전 의무 불이행,126.8561816,37.49007643
2019-01-21 12,주,월,금천구,차대사람,보행자 보호의무 위반,126.8871526,37.47216896
2019-01-22 21,야,화,금천구,차대사람,안전운전 의무 불이행,126.9086534,37.45106862
2019-01-23 03,야,수,종로구,차대사람,안전운전 의무 불이행,126.9987214,37.58993392
2019-01-24 00,야,목,성동구,차대사람,안전운전 의무 불이행,127.0436045,37.55377364
2019-01-25 23,야,금,도봉구,차대사람,안전운전 의무 불이행,127.0349488,37.65119311
2019-01-29 05,야,화,중구,차대사람,안전운전 의무 불이행,127.0007227,37.56673275
2019-01-30 00,야,수,용산구,차대사람,안전운전 의무 불이행,126.9716193,37.53335531
2019-01-30 11,주,수,은평구,차대사람,보행자 보호의무 위반,126.9195936,37.61735061
2019-01-30 18,야,수,양천구,차대사람,안전운전 의무 불이행,126.8345465,37.53036403
2019-01-31 00,야,목,구로구,차대사람,안전운전 의무 불이행,126.8242793,37.48915915
2019-02-06 23,야,수,송파구,차대사람,신호위반,127.1173753,37.49399631
2019-02-07 03,야,목,구로구,차대사람,과속,126.8773906,37.48607091
2019-02-08 06,주,금,마포구,차대사람,안전운전 의무 불이행,126.9623787,37.55135863
2019-02-11 19,야,월,종로구,차대사람,안전운전 의무 불이행,126.9634092,37.59708856
2019-02-13 04,야,수,강남구,차대사람,과속,127.0394643,37.50165926
2019-02-15 21,야,금,성북구,차대사람,보행자 보호의무 위반,127.0133696,37.60173973
2019-03-01 00,야,금,영등포구,차대사람,안전운전 의무 불이행,126.8847476,37.55026757
2019-03-04 23,야,월,광진구,차대사람,보행자 보호의무 위반,127.0637797,37.54206021
2019-03-06 18,야,수,관악구,차대사람,안전운전 의무 불이행,126.9418285,37.481796
2019-03-09 06,주,토,용산구,차대사람,과속,126.9727783,37.53431593
2019-03-10 00,야,일,동작구,차대사람,안전운전 의무 불이행,126.955652,37.49555753
2019-03-13 19,야,수,성동구,차대사람,안전운전 의무 불이행,127.0307216,37.56263749
2019-03-15 01,야,금,강서구,차대사람,안전운전 의무 불이행,126.8627745,37.55709228
2019-03-18 05,야,월,노원구,차대사람,안전운전 의무 불이행,127.0738763,37.66135399
2019-03-19 22,야,화,관악구,차대사람,안전운전 의무 불이행,126.9589791,37.47343905
2019-03-20 09,주,수,중랑구,차대사람,안전운전 의무 불이행,127.0887426,37.58068256
2019-03-20 13,주,수,강서구,차대사람,안전운전 의무 불이행,126.8577736,37.53267389
2019-03-25 22,야,월,동대문구,차대사람,안전운전 의무 불이행,127.0525143,37.5670576
2019-03-26 19,야,화,종로구,차대사람,안전운전 의무 불이행,127.0122657,37.57195294
2019-03-27 15,주,수,강남구,차대사람,안전운전 의무 불이행,127.0247412,37.52548689
2019-03-31 21,야,일,용산구,차대사람,안전운전 의무 불이행,126.9942551,37.52177289
2019-04-01 16,주,월,양천구,차대사람,신호위반,126.8556519,37.51880861
2019-04-07 03,야,일,강서구,차대사람,안전운전 의무 불이행,126.8469516,37.531587
2019-04-09 01,야,화,동작구,차대사람,안전운전 의무 불이행,126.9364213,37.50326948
2019-04-11 21,야,목,서대문구,차대사람,안전운전 의무 불이행,126.9405433,37.59485522
2019-04-14 00,야,일,강북구,차대사람,안전운전 의무 불이행,127.0300422,37.64187187
2019-04-24 01,야,수,중랑구,차대사람,안전운전 의무 불이행,127.0950446,37.59859609
2019-05-01 13,주,수,성동구,차대사람,신호위반,127.0472345,37.56568544
2019-05-03 02,야,금,광진구,차대사람,안전운전 의무 불이행,127.0699813,37.53840544
2019-05-06 01,야,월,강서구,차대사람,과속,126.8079673,37.55905423
2019-05-06 02,야,월,강서구,차대사람,안전운전 의무 불이행,126.8396666,37.54141622
2019-05-07 06,주,화,성동구,차대사람,보행자 보호의무 위반,127.0437695,37.54805521
2019-05-07 09,주,화,강서구,차대사람,안전운전 의무 불이행,126.8237645,37.56000204
2019-05-07 12,주,화,마포구,차대사람,신호위반,126.9421524,37.54619923
2019-05-07 17,주,화,강서구,차대사람,기타,126.8133794,37.5565801
2019-05-09 15,주,목,은평구,차대사람,안전운전 의무 불이행,126.9162838,37.58413796
2019-05-11 00,야,토,서초구,차대사람,안전운전 의무 불이행,127.0090019,37.48357248
2019-05-20 07,주,월,성북구,차대사람,안전운전 의무 불이행,127.0569204,37.61079852
2019-05-24 22,야,금,노원구,차대사람,안전운전 의무 불이행,127.0524662,37.63561364
2019-06-01 23,야,토,강남구,차대사람,안전운전 의무 불이행,127.0436204,37.53073513
2019-06-05 21,야,수,양천구,차대사람,보행자 보호의무 위반,126.8590252,37.51471681
2019-06-06 00,야,목,강동구,차대사람,안전운전 의무 불이행,127.1366885,37.54010773
2019-06-07 05,야,금,성북구,차대사람,보행자 보호의무 위반,127.0086272,37.61140951
2019-06-10 20,야,월,동대문구,차대사람,안전운전 의무 불이행,127.0385195,37.58156049
2019-06-12 08,주,수,서대문구,차대사람,안전운전 의무 불이행,126.9415738,37.59186764
2019-06-14 10,주,금,성동구,차대사람,신호위반,127.0238053,37.55877005
2019-06-14 22,야,금,구로구,차대사람,신호위반,126.8580713,37.50982631
2019-06-17 16,주,월,중랑구,차대사람,안전운전 의무 불이행,127.0918344,37.5807023
2019-06-21 15,주,금,서초구,차대사람,안전운전 의무 불이행,126.9863324,37.47567933
2019-06-26 22,야,수,동대문구,차대사람,과속,127.0256069,37.57463202
2019-06-27 04,야,목,영등포구,차대사람,안전운전 의무 불이행,126.9063458,37.51626208
2019-06-30 03,야,일,중랑구,차대사람,안전운전 의무 불이행,127.0969292,37.58943584
2019-07-05 21,야,금,광진구,차대사람,안전운전 의무 불이행,127.0820503,37.55616937
2019-07-09 02,야,화,강동구,차대사람,과속,127.1282117,37.52385693
2019-07-19 16,주,금,송파구,차대사람,안전운전 의무 불이행,127.1054514,37.50699077
2019-07-22 04,야,월,노원구,차대사람,과속,127.0788043,37.61869329
2019-07-26 22,야,금,노원구,차대사람,안전운전 의무 불이행,127.0606623,37.65456353
2019-07-27 04,야,토,강동구,차대사람,과속,127.1497563,37.5317646
2019-07-29 15,주,월,서초구,차대사람,안전운전 의무 불이행,126.9825039,37.47652793
2019-07-29 22,야,월,마포구,차대사람,안전운전 의무 불이행,126.9047944,37.55628316
2019-08-03 00,야,토,용산구,차대사람,안전운전 의무 불이행,126.9711051,37.53243363
2019-08-06 14,주,화,용산구,차대사람,안전운전 의무 불이행,126.9568482,37.53655119
2019-08-07 12,주,수,강남구,차대사람,안전운전 의무 불이행,127.0254289,37.50447453
2019-08-08 10,주,목,양천구,차대사람,보행자 보호의무 위반,126.871927,37.51581366
2019-08-09 13,주,금,서대문구,차대사람,안전운전 의무 불이행,126.9481743,37.56776071
2019-08-10 04,야,토,동대문구,차대사람,안전운전 의무 불이행,127.0231262,37.57293651
2019-08-14 15,주,수,영등포구,차대사람,보행자 보호의무 위반,126.9057244,37.52841096
2019-08-18 09,주,일,양천구,차대사람,중앙선 침범,126.8635392,37.52681029
2019-08-19 22,야,월,도봉구,차대사람,안전운전 의무 불이행,127.0434053,37.68271875
2019-08-21 15,주,수,용산구,차대사람,기타,126.997017,37.53009516
2019-08-29 07,주,목,강서구,차대사람,안전운전 의무 불이행,126.8618152,37.55115536
2019-08-29 14,주,목,서대문구,차대사람,안전운전 의무 불이행,126.9445774,37.59162043
2019-08-30 23,야,금,은평구,차대사람,안전운전 의무 불이행,126.9009005,37.57880607
2019-09-02 05,야,월,강동구,차대사람,신호위반,127.1522169,37.53809939
2019-09-03 08,주,화,노원구,차대사람,안전운전 의무 불이행,127.075622,37.66340632
2019-09-06 02,야,금,중랑구,차대사람,과속,127.092544,37.59804667
2019-09-07 19,야,토,강서구,차대사람,안전운전 의무 불이행,126.8120896,37.55524762
2019-09-10 11,주,화,강북구,차대사람,안전운전 의무 불이행,127.040088,37.62850856
2019-09-11 23,야,수,중랑구,차대사람,과속,127.0875811,37.60030083
2019-09-12 20,야,목,서대문구,차대사람,안전운전 의무 불이행,126.9498744,37.58340697
2019-09-12 21,야,목,서대문구,차대사람,안전운전 의무 불이행,126.9132284,37.57009432
2019-09-12 21,야,목,금천구,차대사람,안전운전 의무 불이행,126.8983043,37.472046
2019-09-21 14,주,토,강동구,차대사람,기타,127.1456788,37.54433537
2019-09-22 06,주,일,동대문구,차대사람,안전운전 의무 불이행,127.0628492,37.56764614
2019-09-23 11,주,월,서초구,차대사람,안전운전 의무 불이행,127.0159144,37.48859454
2019-09-23 14,주,월,서초구,차대사람,보행자 보호의무 위반,127.0042829,37.50618589
2019-09-25 02,야,수,양천구,차대사람,안전운전 의무 불이행,126.880747,37.53573498
2019-09-27 05,야,금,서초구,차대사람,안전운전 의무 불이행,126.9872489,37.47562022
2019-09-30 22,야,월,금천구,차대사람,신호위반,126.897314,37.46439743
2019-10-01 10,주,화,금천구,차대사람,보행자 보호의무 위반,126.8981752,37.47122511
2019-10-03 00,야,목,강남구,차대사람,안전운전 의무 불이행,127.04613,37.49572707
2019-10-05 03,야,토,성동구,차대사람,안전운전 의무 불이행,127.0397864,37.55052297
2019-10-06 14,주,일,중구,차대사람,안전운전 의무 불이행,126.9981446,37.56618101
2019-10-07 05,야,월,송파구,차대사람,안전운전 의무 불이행,127.1316235,37.49973821
2019-10-08 06,주,화,강동구,차대사람,보행자 보호의무 위반,127.1393553,37.55046346
2019-10-09 06,주,수,구로구,차대사람,과속,126.8449759,37.47533177
2019-10-23 02,야,수,강서구,차대사람,과속,126.8469953,37.54863168
2019-10-23 20,야,수,성동구,차대사람,안전운전 의무 불이행,127.0344514,37.5455266
2019-10-23 23,야,수,송파구,차대사람,안전운전 의무 불이행,127.118364,37.51532571
2019-10-24 00,야,목,영등포구,차대사람,과속,126.9254288,37.52600092
2019-10-26 07,주,토,서대문구,차대사람,안전운전 의무 불이행,126.9456266,37.58760538
2019-10-28 05,야,월,강서구,차대사람,안전운전 의무 불이행,126.815953,37.55247591
2019-10-30 09,주,수,중랑구,차대사람,안전운전 의무 불이행,127.0791519,37.61450329
2019-10-30 18,야,수,관악구,차대사람,안전운전 의무 불이행,126.9139344,37.48497161
2019-11-02 11,주,토,서대문구,차대사람,안전운전 의무 불이행,126.9464872,37.59221527
2019-11-05 05,야,화,강서구,차대사람,안전운전 의무 불이행,126.813932,37.58027052
2019-11-08 05,야,금,구로구,차대사람,보행자 보호의무 위반,126.8594813,37.49311389
2019-11-09 10,주,토,관악구,차대사람,안전운전 의무 불이행,126.92682,37.49207172
2019-11-15 02,야,금,서초구,차대사람,안전운전 의무 불이행,126.9854384,37.5054383
2019-11-21 07,주,목,영등포구,차대사람,신호위반,126.8981497,37.5293713
2019-12-01 05,야,일,마포구,차대사람,과속,126.9110268,37.54840059
2019-12-03 21,야,화,관악구,차대사람,안전운전 의무 불이행,126.933943,37.48670874
2019-12-03 23,야,화,성동구,차대사람,안전운전 의무 불이행,127.0544268,37.55013747
2019-12-10 07,주,화,성북구,차대사람,안전운전 의무 불이행,127.0621167,37.61152096
2019-12-12 07,주,목,양천구,차대사람,과속,126.8310143,37.50640427
2019-12-12 21,야,목,서초구,차대사람,안전운전 의무 불이행,127.0877159,37.46275441
2019-12-20 02,야,금,구로구,차대사람,과속,126.8444429,37.49620416
2019-12-22 09,주,일,서초구,차대사람,안전운전 의무 불이행,127.0064056,37.49138547
2019-12-29 23,야,일,동대문구,차대사람,과속,127.0628854,37.5903332
2019-12-30 00,야,월,관악구,차대사람,안전운전 의무 불이행,126.9269693,37.49325322
2019-12-31 05,야,화,강남구,차대사람,안전운전 의무 불이행,127.0977693,37.48581892
,주,수,서대문구,차대사람,,126.9392741,37.59038756
,야,일,용산구,차대사람,,126.9717317,37.54950802
,야,월,강북구,차대사람,,127.0195897,37.62279351
,야,일,강북구,차대사람,,127.0221154,37.61236625
,주,월,광진구,차대사람,,127.0832413,37.53949856
,야,금,마포구,차대사람,,126.9527236,37.54646503
,야,화,영등포구,차대사람,,126.9079958,37.51939806
,주,일,영등포구,차대사람,,126.8976481,37.50026411
,야,목,성동구,차대사람,,127.0466383,37.55196461
,주,목,동작구,차대사람,,126.9252888,37.50145641
,주,화,동작구,차대사람,,126.9374151,37.50471459
,야,토,중랑구,차대사람,,127.087137,37.59046559
,주,목,관악구,차대사람,,126.9180342,37.47555196
,야,화,강서구,차대사람,,126.8693309,37.54864494
,주,금,송파구,차대사람,,127.1055086,37.51762701
,야,일,송파구,차대사람,,127.1053044,37.52631541
,야,화,구로구,차대사람,,126.8859857,37.49868078
,야,화,도봉구,차대사람,,127.043657,37.66940705
,주,월,은평구,차대사람,,126.9322677,37.6150688
,야,월,은평구,차대사람,,126.9221856,37.61771486
,야,목,강남구,차대사람,,127.0298078,37.49359011
,주,월,강남구,차대사람,,127.0550033,37.4893161
,주,화,종로구,차대사람,,126.9704712,37.5692509
,야,목,종로구,차대사람,,127.0140925,37.57245802
,주,월,용산구,차대사람,,126.9680354,37.52959862
,야,일,성북구,차대사람,,127.0080483,37.58920703
,주,금,강북구,차대사람,,127.0230106,37.63364149
,주,월,강북구,차대사람,,127.030731,37.63509656
,야,월,동대문구,차대사람,,127.0436246,37.58573555
,야,토,영등포구,차대사람,,126.9077947,37.51477312
,주,월,금천구,차대사람,,126.9002168,37.45490286
,야,화,성동구,차대사람,,127.0446698,37.54800911
,야,토,중랑구,차대사람,,127.0857552,37.59657188
,야,일,중랑구,차대사람,,127.0976908,37.59102482
,야,목,강남구,차대사람,,127.0562528,37.50755531
,야,월,강남구,차대사람,,127.0440725,37.51782046
,야,일,강동구,차대사람,,127.1325088,37.5314508
,주,월,송파구,차대사람,,127.1511958,37.49728283
,야,토,구로구,차대사람,,126.8463989,37.50152396
,주,월,구로구,차대사람,,126.9015058,37.48469028
,야,토,구로구,차대사람,,126.8713293,37.49533178
,야,금,구로구,차대사람,,126.8942103,37.49447787
,야,목,서초구,차대사람,,127.0219047,37.50356347
,주,목,서초구,차대사람,,127.0045523,37.48253537
,야,일,노원구,차대사람,,127.0535196,37.68116212
,주,금,도봉구,차대사람,,127.0270839,37.64900766
,주,화,은평구,차대사람,,126.9061836,37.61231753
,야,일,서대문구,차대사람,,126.9513736,37.58082709
,야,토,은평구,차대사람,,126.9248883,37.59487011
,야,토,용산구,차대사람,,126.9886951,37.53389018
,야,토,성북구,차대사람,,127.0080935,37.58750368
,야,수,성북구,차대사람,,127.0089748,37.5895534
,야,월,강북구,차대사람,,127.0254049,37.6349671
,주,일,동대문구,차대사람,,127.0559795,37.58991084
,주,화,마포구,차대사람,,126.9204563,37.55432404
,주,월,영등포구,차대사람,,126.9241626,37.5258235
