,발생년,발생년월일시분,주야,요일,사망자수,사상자수,중상자수,경상자수,부상신고자수,발생지시도,발생지시군구,사고유형_대분류,사고유형_중분류,사고유형,법규위반_대분류,법규위반,도로형태_대분류,도로형태,가해자_당사자종별_대분류,가해자_당사자종별,피해자_당사자종별_대분류,피해자_당사자종별,발생위치X_UTMK,발생위치Y_UTMK,경도,위도
0,2015,2015-01-01 05:57,야,목,1,1,0,0,0,서울,영등포구,차대차,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,지하차도(도로)내,승용차,중형,건설기계,건설기계,949521.0,1946280.0,126.928799,37.51442589
1,2015,2015-01-01 05:30,야,목,1,1,0,0,0,울산,남구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,승용차,경형,보행자,보행자,1159202.0,1728395.0,129.2561467,35.53875501
2,2015,2015-01-01 14:30,주,목,1,1,0,0,0,전북,군산시,차량단독,전도전복,전도전복,운전자법규위반,안전운전 의무 불이행,기타/불명,기타/불명,농기계,농기계,없음,없음,934705.0,1776858.0,126.7756585,35.98631414
3,2015,2015-01-01 21:00,야,목,1,1,0,0,0,광주,동구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,횡단보도상,승용차,소형,보행자,보행자,948213.0,1684783.0,126.9313967,35.15696445
4,2015,2015-01-02 06:50,주,금,1,1,0,0,0,부산,영도구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,1142714.0,1678614.0,129.0656593,35.09256151
5,2015,2015-01-02 06:34,주,금,1,1,0,0,0,울산,남구,차대사람,차도통행중,차도통행중,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,승용차,소형,보행자,보행자,1168168.0,1720763.0,129.3534236,35.46849521
6,2015,2015-01-02 11:50,주,금,1,4,1,1,1,경북,칠곡군,차대차,기타,기타,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,승용차,소형,승용차,중형,1080026.0,1779167.0,128.3879752,36.00603163
7,2015,2015-01-02 17:50,주,금,1,1,0,0,0,경기,수원시,차대사람,기타,기타,운전자법규위반,과속,교차로,교차로내,승합차,중형,보행자,보행자,954929.0,1922294.0,126.9914549,37.29850929
8,2015,2015-01-02 17:40,주,금,1,7,0,6,0,경기,평택시,차대차,추돌,주정차중 추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,대형,화물차,소형,948003.0,1882268.0,126.9160884,36.93736221
9,2015,2015-01-02 20:05,야,금,1,1,0,0,0,경기,고양시,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,942693.0,1961185.0,126.850374,37.6483652
10,2015,2015-01-02 21:54,야,금,1,1,0,0,0,경기,용인시,차대사람,차도통행중,차도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,대형,보행자,보행자,980827.0,1914922.0,127.283854,37.23295323
11,2015,2015-01-02 21:25,야,금,1,1,0,0,0,충북,청주시,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승합차,대형,보행자,보행자,1002539.0,1840711.0,127.5283746,36.56416583
12,2015,2015-01-03 00:58,야,토,2,3,1,0,0,서울,서대문구,차대사람,기타,기타,운전자법규위반,과속,단일로,기타단일로,승용차,대형,보행자,보행자,952579.4,1951310.4,126.9630803,37.55992824
13,2015,2015-01-03 04:50,야,토,1,5,3,1,0,강원,강릉시,차대차,측면충돌,측면충돌,운전자법규위반,신호위반,교차로,교차로내,승용차,중형,화물차,대형,1122912.0,1973644.0,128.8952722,37.75419123
14,2015,2015-01-03 05:00,야,토,1,1,0,0,0,충북,증평군,차대사람,차도통행중,차도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,1005624.0,1865351.0,127.563032,36.78628022
15,2015,2015-01-03 06:43,주,토,2,2,0,0,0,인천,부평구,차대사람,횡단중,횡단중,운전자법규위반,과속,단일로,횡단보도상,승용차,중형,보행자,보행자,928772.0,1941617.0,126.694481,37.47103057
16,2015,2015-01-03 07:10,주,토,1,3,1,1,0,경남,남해군,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승합차,소형,없음,없음,1033939.0,1660770.0,127.8716609,34.94119617
17,2015,2015-01-03 07:25,주,토,1,1,0,0,0,대구,북구,차대차,측면충돌,측면충돌,운전자법규위반,신호위반,교차로,교차로내,승용차,중형,자전거,자전거,1092493.4,1758436.5,128.523885,35.81805003
18,2015,2015-01-03 08:10,주,토,1,1,0,0,0,경남,진주시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,중형,보행자,보행자,1059589.0,1687268.0,128.1544414,35.17893841
19,2015,2015-01-03 11:50,주,토,1,1,0,0,0,전남,광양시,차량단독,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,농기계,농기계,없음,없음,1014990.0,1673854.0,127.6643903,35.05963748
