,발생년,발생년월일시,발생분,주야,요일,사망자수,사상자수,중상자수,경상자수,부상신고자수,발생지시도,발생지시군구,사고유형_대분류,사고유형_중분류,사고유형,법규위반_대분류,법규위반,도로형태_대분류,도로형태,당사자종별_1당_대분류,당사자종별_1당,당사자종별_2당_대분류,당사자종별_2당,발생위치X_UTMK,발생위치Y_UTMK,경도,위도
0,2017,2017-01-01 01:00,15,야간,일,1,2,1,0,0,전남,장성군,차대차,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,승용차,승용차,933501,1700129,126.76863395,35.29446394
1,2017,2017-01-01 02:00,28,야간,일,1,1,0,0,0,서울,송파구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,승용차,승용차,보행자,보행자,967570,1944453,127.13310702,37.49874052
2,2017,2017-01-01 02:00,43,야간,일,1,2,0,1,0,충남,홍성군,차대차,추돌,추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,승용차,승용차,916497,1842880,126.5666315,36.58006864
3,2017,2017-01-01 02:00,22,야간,일,1,1,0,0,0,충남,아산시,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,없음,없음,961608,1864573,127.06975908,36.77850542
4,2017,2017-01-01 04:00,37,야간,일,1,1,0,0,0,서울,금천구,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,946778,1941695,126.89809356,37.47294629
5,2017,2017-01-01 04:00,0,야간,일,1,2,1,0,0,강원,춘천시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,1021195,1985798,127.740989,37.87175076
6,2017,2017-01-01 05:00,50,야간,일,1,1,0,0,0,경기,화성시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,보행자,보행자,959140,1912805,127.03948795,37.21317246
7,2017,2017-01-01 09:00,25,주간,일,1,5,3,1,0,광주,북구,차량단독,도로이탈,도로이탈 추락,운전자법규위반,안전운전 의무 불이행,단일로,교량위,화물차,화물차,없음,없음,942432,1692541,126.86738462,35.22660077
8,2017,2017-01-01 18:00,33,야간,일,1,3,1,1,0,제주,서귀포시,차대차,측면충돌,측면충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,화물차,화물차,922514,1476665,126.66791296,33.27858211
9,2017,2017-01-01 20:00,0,야간,일,1,7,4,2,0,충남,공주시,차대차,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,승용차,승용차,962530,1823895,127.08207353,36.41183818
10,2017,2017-01-01 22:00,10,야간,일,2,2,0,0,0,전남,무안군,차량단독,전도전복,전도전복,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,없음,없음,905827,1665350,126.46826789,34.97879769
11,2017,2017-01-02 03:00,30,야간,월,1,2,0,1,0,울산,울주군,차대사람,차도통행중,차도통행중,운전자법규위반,과속,단일로,기타단일로,승용차,승용차,보행자,보행자,1162551,1720013,129.29139469,35.46267061
12,2017,2017-01-02 04:00,30,야간,월,1,1,0,0,0,서울,은평구,차대사람,횡단중,횡단중,운전자법규위반,보행자 보호의무 위반,교차로,교차로내,승용차,승용차,보행자,보행자,948413,1957900,126.91544404,37.61909675
13,2017,2017-01-02 06:00,44,주간,월,1,1,0,0,0,전북,전주시,차대사람,횡단중,횡단중,운전자법규위반,보행자 보호의무 위반,교차로,교차로내,승용차,승용차,보행자,보행자,966955,1754577,127.13448306,35.7867651
