,발생년,발생년월일시,주야,요일,사망자수,부상자수,중상자수,경상자수,부상신고자수,발생지시도,발생지시군구,사고유형_대분류,사고유형_중분류,사고유형,가해자법규위반,도로형태_대분류,도로형태,가해자_당사자종별,피해자_당사자종별,발생위치X_UTMK,발생위치Y_UTMK,경도,위도
0,2020,2020-01-01 05,야,수,1,0,0,0,0,서울,강남구,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,959928.0,1943154.0,127.0467272,37.48676083
1,2020,2020-01-01 05,야,수,1,0,0,0,0,경기,화성시,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,승용차,화물차,951237.0,1916995.0,126.9501465,37.25055993
2,2020,2020-01-01 07,주,수,1,0,0,0,0,충남,천안시,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,967688.0,1869920.0,127.1376664,36.82693312
3,2020,2020-01-01 10,주,수,1,0,0,0,0,경남,거창군,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,화물차,없음,1038413.0,1748968.0,127.9247957,35.73629042
4,2020,2020-01-01 11,주,수,1,0,0,0,0,경기,이천시,차량단독,도로이탈,도로이탈 추락,안전운전 의무 불이행,단일로,기타단일로,농기계,없음,1011197.0,1900537.0,127.6260137,37.10341463
5,2020,2020-01-01 19,야,수,1,0,0,0,0,경북,경주시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,지하차도(도로)내,화물차,없음,1161327.0,1776469.0,129.2892528,35.97165083
6,2020,2020-01-01 20,야,수,1,0,0,0,0,경기,오산시,차대사람,횡단중,횡단중,과속,교차로,교차로횡단보도내,승용차,보행자,962154.0,1905890.0,127.0738067,37.15096851
7,2020,2020-01-01 21,야,수,1,0,0,0,0,부산,기장군,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,교차로,교차로내,승용차,없음,1159476.0,1707684.0,129.2551098,35.35205256
8,2020,2020-01-02 02,야,목,1,0,0,0,0,충남,천안시,차량단독,도로이탈,도로이탈 기타,안전운전 의무 불이행,교차로,교차로부근,화물차,없음,967543.0,1863997.0,127.136293,36.77353496
9,2020,2020-01-02 06,주,목,1,0,0,0,0,경기,수원시,차대차,기타,기타,안전운전 의무 불이행,교차로,교차로내,화물차,화물차,951872.0,1918202.0,126.9572285,37.26147242
10,2020,2020-01-02 07,주,목,1,0,0,0,0,경기,하남시,차대사람,횡단중,횡단중,보행자 보호의무 위반,단일로,기타단일로,승용차,보행자,974303.0,1949568.0,127.2091026,37.54508551
11,2020,2020-01-02 07,주,목,1,0,0,0,0,제주,제주시,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승합차,보행자,908782.8,1502634.0,126.5178462,33.51170865
12,2020,2020-01-02 09,주,목,1,0,0,0,0,경남,거창군,차대차,기타,기타,안전운전 의무 불이행,교차로,교차로부근,이륜차,화물차,1038305.0,1742564.0,127.9232961,35.67855529
13,2020,2020-01-02 14,주,목,1,1,1,0,0,경북,예천군,차량단독,도로이탈,도로이탈 기타,안전운전 의무 불이행,단일로,기타단일로,승용차,없음,1078284.0,1847344.0,128.3754932,36.62074953
14,2020,2020-01-02 15,주,목,1,5,4,1,0,제주,제주시,차대차,정면충돌,정면충돌,중앙선 침범,단일로,기타단일로,승용차,승용차,918127.6,1490924.0,126.6195208,33.40685718
15,2020,2020-01-02 16,주,목,1,0,0,0,0,경남,거창군,차대차,측면충돌,측면충돌,안전운전 의무 불이행,교차로,교차로내,이륜차,화물차,1034249.0,1734423.0,127.8781295,35.60530294
16,2020,2020-01-02 18,야,목,1,2,2,0,0,경남,산청군,차대차,정면충돌,정면충돌,중앙선 침범,단일로,기타단일로,승용차,승용차,1030432.0,1698561.0,127.8346471,35.28207363
17,2020,2020-01-02 18,야,목,2,0,0,0,0,경기,가평군,차량단독,도로이탈,도로이탈 추락,안전운전 의무 불이행,단일로,기타단일로,사륜오토바이(ATV),없음,997775.0,1978825.0,127.4747229,37.80914602
18,2020,2020-01-02 19,야,목,1,0,0,0,0,경기,광주시,차대사람,기타,기타,안전운전 의무 불이행,교차로,교차로내,승용차,보행자,981033.0,1931716.0,127.2857473,37.38433681
