,발생년,발생년월일시,주야,요일,사망자수,부상자수,중상자수,경상자수,부상신고자수,발생지시도,발생지시군구,사고유형_대분류,사고유형_중분류,사고유형,가해자법규위반,도로형태_대분류,도로형태,가해자_당사자종별,피해자_당사자종별,발생위치X(UTMK),발생위치Y(UTMK),경도,위도
0,2021,2021-01-01 03:00,야,금,1,3,0,3,0,경북,군위군,차대차,추돌,추돌,안전운전 의무 불이행,교차로,교차로부근,승용차,승용차,1097010.0,1793385.0,128.5781516,36.13265309
1,2021,2021-01-01 09:00,주,금,1,0,0,0,0,충남,서산시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,없음,902369.0,1847109.0,126.4082005,36.61684533
2,2021,2021-01-01 15:00,주,금,1,0,0,0,0,강원,강릉시,차대차,측면충돌,측면충돌,안전운전 의무 불이행,교차로,교차로내,원동기장치자전거,승용차,1123975.0,1974509.0,128.9074835,37.76184189
3,2021,2021-01-01 19:00,야,금,1,0,0,0,0,전남,진도군,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,화물차,보행자,886507.0,1613961.0,126.2635734,34.51339077
4,2021,2021-01-01 21:00,야,금,1,0,0,0,0,경기,수원시,차대사람,기타,기타,기타,단일로,기타단일로,승용차,보행자,953522.0,1915403.0,126.9760106,37.23632699
5,2021,2021-01-01 21:00,야,금,1,0,0,0,0,전남,순천시,차대사람,기타,기타,기타,기타,기타,승용차,보행자,1001659.0,1662375.9,127.5181708,34.95624455
6,2021,2021-01-01 22:00,야,금,1,0,0,0,0,충남,천안시,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로부근,승용차,보행자,968634.0,1874802.0,127.1480726,36.8709737
7,2021,2021-01-01 22:00,야,금,1,3,1,2,0,광주,광산구,차대차,정면충돌,정면충돌,안전운전 의무 불이행,교차로,교차로내,승용차,승용차,938071.4,1689913.5,126.8196665,35.20265006
8,2021,2021-01-02 02:00,야,토,1,0,0,0,0,경기,파주시,차량단독,전복,전복,안전운전 의무 불이행,단일로,기타단일로,승용차,없음,933561.0,1980113.0,126.7451323,37.81833887
9,2021,2021-01-02 07:00,주,토,1,0,0,0,0,서울,종로구,차대사람,횡단중,횡단중,신호위반,교차로,교차로횡단보도내,화물차,보행자,953176.5,1956468.8,126.9695109,37.60645223
10,2021,2021-01-02 09:00,주,토,1,1,1,0,0,경북,영주시,차대차,측면충돌,측면충돌,교차로 통행방법 위반,교차로,교차로내,화물차,승합차,1101453.0,1869467.0,128.6375007,36.81796058
11,2021,2021-01-02 21:00,야,토,1,0,0,0,0,경기,수원시,차대차,측면충돌,측면충돌,신호위반,교차로,교차로내,승용차,이륜차,956518.0,1919110.0,127.0095696,37.26988546
12,2021,2021-01-02 23:00,야,토,1,0,0,0,0,충남,서산시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,없음,911655.0,1865556.0,126.5099,36.78402425
13,2021,2021-01-02 23:00,야,토,1,3,3,0,0,경북,상주시,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,1058220.0,1838239.0,128.1504329,36.54011006
14,2021,2021-01-03 01:00,야,일,1,0,0,0,0,전남,여수시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,없음,1005238.0,1648783.0,127.557286,34.83365711
15,2021,2021-01-03 12:00,주,일,1,0,0,0,0,서울,종로구,차대사람,횡단중,횡단중,신호위반,교차로,교차로횡단보도내,승합차,보행자,955751.0,1953865.7,126.9988351,37.58311754
16,2021,2021-01-03 23:00,야,일,1,0,0,0,0,전남,무안군,차대사람,기타,기타,안전운전 의무 불이행,기타,기타,승용차,보행자,902330.7,1657415.4,126.4309032,34.90681196
17,2021,2021-01-04 00:00,야,월,1,0,0,0,0,경남,창원시(통합),차대차,정면충돌,정면충돌,기타,단일로,기타단일로,이륜차,승용차,1097886.0,1693194.0,128.5756928,35.22936208
18,2021,2021-01-04 07:00,주,월,1,1,1,0,0,전남,여수시,차대차,기타,기타,안전운전 의무 불이행,교차로,교차로내,승용차,이륜차,1017795.0,1642380.0,127.694481,34.77577472
19,2021,2021-01-04 10:00,주,월,1,0,0,0,0,경기,파주시,차대사람,보도통행중,보도통행중,중앙선 침범,단일로,기타단일로,화물차,보행자,942547.0,1975961.0,126.8475523,37.7815285
20,2021,2021-01-04 16:00,주,월,1,1,1,0,0,경기,안성시,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,989286.0,1886297.0,127.3796249,36.97505593
21,2021,2021-01-04 17:00,주,월,1,0,0,0,0,충남,예산군,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,없음,926075.0,1853544.0,126.6726535,36.67698466
22,2021,2021-01-04 23:00,야,월,1,1,0,1,0,경기,성남시,차대차,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,964038.0,1934275.0,127.0936492,37.40689899
23,2021,2021-01-05 05:00,야,화,1,0,0,0,0,제주,제주시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,화물차,없음,877279.1,1482508.6,126.1814542,33.32707725
24,2021,2021-01-05 06:00,주,화,1,0,0,0,0,전남,나주시,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,931830.1,1671389.9,126.752633,35.0352275
25,2021,2021-01-05 10:00,주,화,1,0,0,0,0,경기,광주시,차대사람,기타,기타,안전운전 의무 불이행,기타,기타,화물차,보행자,985727.0,1927803.0,127.3388463,37.34914985
26,2021,2021-01-05 14:00,주,화,1,0,0,0,0,경남,김해시,차대차,기타,기타,안전운전 의무 불이행,교차로,교차로부근,승용차,승용차,1126964.0,1697595.0,128.8958431,35.2657735
27,2021,2021-01-05 18:00,야,화,1,0,0,0,0,경남,양산시,차대사람,횡단중,횡단중,신호위반,교차로,교차로내,승용차,보행자,1139179.0,1707283.0,129.0317397,35.35147519
28,2021,2021-01-05 21:00,야,화,1,0,0,0,0,부산,금정구,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,1144597.0,1697996.0,129.0897086,35.26699658
29,2021,2021-01-05 22:00,야,화,2,0,0,0,0,경기,안양시,차대차,정면충돌,정면충돌,중앙선 침범,단일로,고가도로위,승용차,승용차,951621.0,1930144.0,126.9536194,37.36909909
30,2021,2021-01-06 09:00,주,수,1,0,0,0,0,경북,칠곡군,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,1081026.0,1778164.0,128.3989675,35.9969071
31,2021,2021-01-06 14:00,주,수,1,0,0,0,0,경기,안산시,차대차,측면충돌,측면충돌,기타,교차로,교차로부근,이륜차,승용차,943267.0,1922944.0,126.8598273,37.30372949
32,2021,2021-01-06 18:00,야,수,1,2,0,2,0,서울,송파구,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,968687.0,1945303.0,127.1457108,37.5064694
33,2021,2021-01-06 18:00,야,수,1,0,0,0,0,경북,구미시,차대사람,횡단중,횡단중,보행자 보호의무 위반,단일로,기타단일로,승용차,보행자,1082489.0,1793297.0,128.4167788,36.13320369
34,2021,2021-01-06 21:00,야,수,1,4,1,3,0,전남,여수시,차대차,정면충돌,정면충돌,중앙선 침범,단일로,기타단일로,승용차,승용차,1016864.8,1638874.7,127.6842447,34.74418062
35,2021,2021-01-07 11:00,주,목,1,2,0,1,1,경기,광명시,차대차,기타,기타,중앙선 침범,단일로,기타단일로,화물차,승용차,944584.0,1942408.0,126.8732285,37.47924367
36,2021,2021-01-07 11:00,주,목,1,0,0,0,0,경북,고령군,차대사람,기타,기타,기타,단일로,기타단일로,화물차,보행자,1078575.0,1752745.0,128.3692692,35.76795354
37,2021,2021-01-07 13:00,주,목,1,0,0,0,0,경남,진주시,차량단독,공작물충돌,공작물충돌,안전운전 의무 불이행,단일로,교량위,승용차,없음,1057290.0,1693397.0,128.1296202,35.23433486
38,2021,2021-01-07 15:00,주,목,1,0,0,0,0,부산,강서구,차대사람,횡단중,횡단중,신호위반,단일로,기타단일로,건설기계,보행자,1129256.0,1679555.0,128.918206,35.10286059
39,2021,2021-01-07 21:00,야,목,1,0,0,0,0,경남,창원시(통합),차대차,측면충돌,측면충돌,신호위반,교차로,교차로내,승용차,승용차,1101367.0,1695103.0,128.6141754,35.24622648
40,2021,2021-01-08 08:00,주,금,1,0,0,0,0,경기,안성시,차대차,기타,기타,안전운전 의무 불이행,단일로,기타단일로,화물차,화물차,997577.0,1896158.0,127.4727451,37.06400482
41,2021,2021-01-08 16:00,주,금,1,0,0,0,0,경남,양산시,차대차,추돌,추돌,안전운전 의무 불이행,단일로,기타단일로,승용차,승용차,1141106.0,1710912.0,129.0535672,35.38391485
42,2021,2021-01-08 16:00,주,금,1,0,0,0,0,경남,사천시,차대차,측면충돌,측면충돌,안전운전 의무 불이행,교차로,교차로부근,승용차,승합차,1054531.0,1676124.0,128.098159,35.07874307
