발생년,발생년월일시,주야,요일,사망자수,부상자수,중상자수,경상자수,부상신고자수,발생지시도,발생지시군구,사고유형_대분류,사고유형_중분류,사고유형,가해자법규위반,도로형태_대분류,도로형태,가해자_당사자종별,피해자_당사자종별,발생위치X_UTMK,발생위치Y_UTMK,경도,위도,발생년월일시분,사상자수,법규위반_대분류,법규위반,가해자_당사자종별_대분류,피해자_당사자종별_대분류,발생위치X(UTMK),발생위치Y(UTMK),발생위치X,발생위치Y,발생분,당사자종별_1당_대분류,당사자종별_1당,당사자종별_2당_대분류,당사자종별_2당
2019,2019-01-13 11,주,일,1,0.0,0,0,0,경기,남양주시,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,982680.0,1951727.0,127.303881,37.56474126,,,,,,,,,,,,,,,
2019,2019-02-07 04,야,목,1,0.0,0,0,0,경기,남양주시,차대사람,횡단중,횡단중,과속,교차로,교차로내,승용차,보행자,966373.0,1960696.0,127.1188231,37.64513049,,,,,,,,,,,,,,,
2019,2019-04-19 06,주,금,1,0.0,0,0,0,경기,남양주시,차대사람,차도통행중,차도통행중,안전운전 의무 불이행,교차로,교차로내,건설기계,보행자,976485.0,1951365.0,127.2337456,37.56134102,,,,,,,,,,,,,,,
2019,2019-05-19 21,야,일,1,0.0,0,0,0,경기,남양주시,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,화물차,보행자,970934.0,1967080.0,127.1702687,37.7028268,,,,,,,,,,,,,,,
2019,2019-07-07 09,주,일,1,0.0,0,0,0,경기,남양주시,차대사람,횡단중,횡단중,신호위반,교차로,교차로횡단보도내,승용차,보행자,973442.0,1968211.0,127.1986784,37.71309688,,,,,,,,,,,,,,,
2019,2019-09-07 21,야,토,1,0.0,0,0,0,경기,남양주시,차대사람,횡단중,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,976488.0,1951369.0,127.2337795,37.56137715,,,,,,,,,,,,,,,
2019,2019-09-15 19,야,일,1,0.0,0,0,0,경기,남양주시,차대사람,횡단중,횡단중,안전운전 의무 불이행,교차로,교차로내,승용차,보행자,971113.0,1961641.0,127.1725148,37.65380941,,,,,,,,,,,,,,,
2019,2019-09-18 06,주,수,1,0.0,0,0,0,경기,남양주시,차대사람,횡단중,횡단중,보행자 보호의무 위반,교차로,교차로내,승합차,보행자,968722.0,1962181.0,127.1453859,37.65859821,,,,,,,,,,,,,,,
2019,2019-10-04 18,야,금,1,0.0,0,0,0,경기,남양주시,차대사람,횡단중,횡단중,신호위반,교차로,교차로횡단보도내,이륜차,보행자,966043.0,1967818.0,127.1147507,37.70931029,,,,,,,,,,,,,,,
2019,2019-11-30 23,야,토,1,0.0,0,0,0,경기,남양주시,차대사람,기타,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,보행자,968675.0,1961001.0,127.1449037,37.64796096,,,,,,,,,,,,,,,
2018,,주,목,1,,0,0,0,경기,남양주시,차대사람,횡단중,횡단중,,단일로,기타단일로,화물차,보행자,970704.0,1957135.0,127.1680589,37.61318248,2018-12-06 11:45,1.0,운전자법규위반,보행자 보호의무 위반,화물차,보행자,,,,,,,,,
2018,,주,화,1,,0,0,0,경기,남양주시,차대사람,기타,기타,,단일로,기타단일로,화물차,보행자,972879.0,1969572.0,127.19224,37.72534735,2018-02-13 10:08,1.0,운전자법규위반,안전운전 의무 불이행,화물차,보행자,,,,,,,,,
2018,,주,금,1,,0,0,0,경기,남양주시,차대사람,횡단중,횡단중,,교차로,교차로횡단보도내,화물차,보행자,969272.0,1956786.0,127.1518484,37.60999007,2018-12-14 16:55,1.0,운전자법규위반,중앙선 침범,화물차,보행자,,,,,,,,,
2018,,야,월,1,,0,0,0,경기,남양주시,차대사람,기타,기타,,교차로,교차로내,화물차,보행자,971532.0,1961985.0,127.1772514,37.65692308,2018-12-03 05:50,1.0,운전자법규위반,안전운전 의무 불이행,화물차,보행자,,,,,,,,,
2018,,주,금,1,,0,0,0,경기,남양주시,차대사람,횡단중,횡단중,,단일로,기타단일로,건설기계,보행자,982941.0,1961521.0,127.306608,37.65302385,2018-12-21 09:50,1.0,운전자법규위반,안전운전 의무 불이행,건설기계,보행자,,,,,,,,,
2018,,야,일,1,,0,0,0,경기,남양주시,차대사람,기타,기타,,교차로,교차로부근,승용차,보행자,970198.0,1965387.0,127.1619887,37.68754379,2018-03-18 23:20,1.0,운전자법규위반,안전운전 의무 불이행,승용차,보행자,,,,,,,,,
2018,,야,화,1,,0,0,0,경기,남양주시,차대사람,횡단중,횡단중,,교차로,교차로내,건설기계,보행자,982863.0,1961048.0,127.3057348,37.64875907,2018-01-16 19:57,1.0,운전자법규위반,신호위반,건설기계,보행자,,,,,,,,,
